
ARCHIVO4-CALERA

"Nombre del computadora:","ARCHIVO4-CALERA"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 100 Series/C230 Series Chipset Family PCI Express Root Port #5 - A114"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.45"
"DeviceInstanceId","PCI\VEN_8086&DEV_A114&SUBSYS_8062103C&REV_F1\3&11583659&0&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x1 Bus #1


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","15"
"Número de dirección PCI (Bus: Dispositivo: Función):","1:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_8062103C&REV_15"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","3F00"
"Dirección base de memoria 2","D10FB000"
"Dirección base de memoria 4","D10FC000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek PCIe GbE Family Controller"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","10.35.510.2019"
"Fecha del controlador:","09-May-2019"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_8062103C&REV_15\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Intel H110 PCH - LPC/eSPI Controller [D1]

"Nombre del dispositivo:","Intel H110 PCH - LPC/eSPI Controller [D1]"
"Nombre del dispositivo original:","Intel H110 PCH - LPC/eSPI Controller [D1]"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","31 [D1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A143&SUBSYS_8062103C&REV_31"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 100 Series/C230 Series Chipset Family LPC Controller (H110) - A143"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.45"
"DeviceInstanceId","PCI\VEN_8086&DEV_A143&SUBSYS_8062103C&REV_31\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Skylake PCH-H - Power Management Controller [D1]

"Nombre del dispositivo:","Intel Skylake PCH-H - Power Management Controller [D1]"
"Nombre del dispositivo original:","Intel Skylake PCH-H - Power Management Controller [D1]"
"Clase de dispositivo:","Other Memory"
"ID de revisión:","31 [D1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A121&SUBSYS_8062103C&REV_31"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Dirección base de memoria 0","D1120000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 100 Series/C230 Series Chipset Family PMC - A121"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.45"
"DeviceInstanceId","PCI\VEN_8086&DEV_A121&SUBSYS_8062103C&REV_31\3&11583659&0&FA"
"Location Paths","PCIROOT(0)#PCI(1F02)"

Intel Skylake PCH-H - High Definition Audio Controller

"Nombre del dispositivo:","Intel Skylake PCH-H - High Definition Audio Controller"
"Nombre del dispositivo original:","Intel Skylake PCH-H - High Definition Audio Controller"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","31"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A170&SUBSYS_8062103C&REV_31"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE7EC000"
"Dirección base de memoria 4","FE7F0000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4957"
"Fecha del controlador:","17-Sep-2024"
"DeviceInstanceId","PCI\VEN_8086&DEV_A170&SUBSYS_8062103C&REV_31\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Skylake PCH-H - SMBus Host Controller [D1]

"Nombre del dispositivo:","Intel Skylake PCH-H - SMBus Host Controller [D1]"
"Nombre del dispositivo original:","Intel Skylake PCH-H - SMBus Host Controller [D1]"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","31 [D1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:4"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A123&SUBSYS_8062103C&REV_31"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","D112D000"
"Dirección base de E/S 4","EFA0"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 100 Series/C230 Series Chipset Family SMBus - A123"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.45"
"DeviceInstanceId","PCI\VEN_8086&DEV_A123&SUBSYS_8062103C&REV_31\3&11583659&0&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Adaptador gráfico


Intel HD Graphics 530

"Chipset de gráficos:","Intel HD Graphics 530"
"Nombre en clave del chipset de gráficos:","Skylake-S GT2"
"Memoria gráfica:","1024 MBytes"
"Tarjeta grafica:","Intel HD Graphics 530 (Skylake-S GT2) [S0/R0] [Hewlett-Packard]"
"Bus de tarjeta gráfica:","PCIe v2.0 x0 (5.0 GT/s) @ [DISABLED]"
"GPU Type:","Integrated"
"Gráficos RAMDAC:","Internal"
"Frecuencia del procesador de gráficos:","349.4 MHz"
"Frecuencia de memoria gráfica:","1064.0 MHz"
"Ancho del bus de memoria gráfica:","64-bit"
"Número de ALU (núcleos):","192"
"Número de EU (unidades de ejecución):","24"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_8086&DEV_1912&SUBSYS_8062103C&REV_06"
"Ubicación PCI (Bus:Dispositivo:Función):","0:02:0"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics 530"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","31.0.101.2111"
"Fecha del controlador:","18-Jul-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_1912&SUBSYS_8062103C&REV_06\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


Hewlett-Packard [Unknown Model: HWP3005]

"Nombre del monitor:","Hewlett-Packard [Unknown Model: HWP3005]"
"Nombre del monitor (del fabricante):","HP LV1911    "
"Número de serie:","6CM3292YHR   "
"Fecha de manufactura:","Semana: 29, Año: 2013"
"ID de hardware del monitor:","Monitor\HWP3005"
"Máx. Tamaño vertical:","23 cm"
"Máx. Tamaño horizontal:","41 cm"
"Frecuencia horizontal:","24 - 83 kHz"
"Frecuencia vertical:","50 - 76 Hz"
"Reloj máximo de píxeles:","140 MHz"
"Señal de entrada:","Analógico: 0.700 V / 0.000 V (0.700 V p-p)"
"Tipo de visualización:","color RGB"
"Gamma Factor:","2.20"
"Standby:","No soportado"
"Suspend:","No soportado"
"Active Off:","Soportado"
"Standard Colour Space (sRGB) Default:","Soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"Serration VSync:","No soportado"
"Sync On Green:","No soportado"
"Composite Sync:","No soportado"
"Separate Syncs:","Soportado"
"Blank-to-black Setup:","No soportado"
"1280 x 720","60 Hz"
"1280 x 1024","60 Hz"
"1366 x 768","410 x 230 mm, Reloj de píxeles 85.50 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4355"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\HWP3005\4&30E66C70&0&UID224795"
"Location Paths","ACPI(_SB_)#ACPI(PCI0)#ACPI(GFX0)#ACPI(DD04)"

Unidades de disco


Unidades (S)ATA/ATAPI


ST500DM002-1BD142

"Controlador de disco:","Serial ATA 6Gb/s @ 6Gb/s"
"Controlador de host:","Intel Skylake PCH-H DT/WS - SATA AHCI Controller [D1]"
"Modelo de unidad:","Seagate ST500DM002-1BD142"
"Revisión de firmware de la unidad:","HP73"
"Número de serie de la unidad:","Z3TKKGE8"
"Nombre mundial (WWN):","5000C50063AC1C70"
"Capacidad de la unidad:","476,940 MBytes (500 GB)"
"Drive Capacity [MB]:","476940"
"Tasa de rotación de medios:","7200 RPM"
"Versión principal de ATA admitida:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS"
"Versión secundaria de ATA admitida:","ATA8-ACS version 4"
"Versión de transporte ATA admitida:","SATA 3.0"
"Número de cilindros:","16383"
"Número de cabezas:","16"
"Sectores por pista:","63"
"Número de bytes ECC:","4"
"Número de sectores:","16514064"
"Total de sectores LBA de 48 bits:","976773168"
"Tamaño del sector lógico:","512 Bytes"
"Tamaño del búfer/caché:","16384 KBytes"
"Sectores por interrupción:","Total: 16"
"Máx. Modo de transferencia PIO:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 5 (ATA-100), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Ancho de transferencia:","16-bit"
"Native Command Queuing:","Soportado, Máx. Profundidad: 32"
"Comando TRIM:","No soportado"
"Unidad fija:","Presente"
"Unidad extraíble:","No presente"
"Almacenamiento magnético:","Presente"
"Modo LBA:","Soportado"
"Modo DMA:","Soportado"
"IORDY:","Soportado"
"IORDY Deshabilitar:","Soportado"
"Caché grabable:","Presente, Activo"
"Función SMART:","Presente, Activo"
"Característica de seguridad:","Presente, Inactivo"
"Función de medios extraíbles:","No presente, Deshabilitado"
"Administración de energía:","Presente, Activo"
"Administración avanzada de energía:","No presente, Inactivo"
"Interfaz de paquetes:","No presente, Deshabilitado"
"Búfer de anticipación:","Presente, Activo"
"Área Protegida del Anfitrión:","No presente, Deshabilitado"
"Encendido en modo de espera:","No soportado, Inactivo"
"Gestión Acústica Automática:","No soportado, Inactivo"
"48-bit LBA:","Soportado, Activo"
"Administración de energía del enlace iniciado por el host (HIPM):","No soportado"
"Administración de energía de enlace iniciada por dispositivo (DIPM):","Soportado, Deshabilitado"
"In-Order Data Delivery:","No soportado"
"Control de funciones de hardware:","No soportado"
"Conservación de la configuración del software:","Soportado, Activado"
"NCQ Autosense:","No soportado"
"Link Power State Device Sleep:","No soportado"
"Función de información híbrida:","No soportado"
"Asistencia de reconstrucción:","No soportado"
"Deshabilitar energía:","No soportado"
"All Write Cache Non-Volatile:","No soportado"
"Número extendido de sectores direccionables por el usuario:","No soportado"
"CFast Specification:","No soportado"
"Información de prioridad de NCQ:","No soportado"
"Host Automatic Partial to Slumber Transitions:","No soportado"
"Device Automatic Partial to Slumber Transitions:","No soportado"
"NCQ Streaming:","No soportado"
"Comando de gestión de colas NCQ:","No soportado"
"DevSleep to Reduced Power State:","No soportado"
"Out Of Band Management Interface:","No soportado"
"Característica de condiciones de energía extendida:","No soportado"
"Función de informe de datos de sentido:","No soportado"
"Función de control de caída libre:","No soportado"
"Función de escritura, lectura y verificación:","Soportado, Deshabilitado"
"Característica de seguridad:","Soportado"
"Estado de seguridad:","Deshabilitado"
"Seguridad bloqueada:","Deshabilitado"
"Seguridad congelada:","Activado"
"Borrado de seguridad mejorado:","Soportado"
"Sanitize Feature:","No soportado"
"Sanitize Device - Crypto Scramble:","No soportado"
"Sanitize Device - Overwrite:","No soportado"
"Sanitize Device - Block Erase:","No soportado"
"Sanitize Device - Antifreeze Lock:","No soportado"
"Device Encrypts All User Data:","No soportado"
"Trusted Computing:","No soportado"
"[01] Tasa de errores en la lectura:","106/6, Peor: 76 (Data = 403344, 0)"
"[03] Spin Up Time:","100/Siempre normales, Peor: 97"
"[04] Recuento de inicio/parada:","97/20, Peor: 97 (Data = 3557, 0)"
"[05] Reasignado el conteo del sector:","100/36, Peor: 100"
"[07] Tasa de error de búsqueda:","79/30, Peor: 57 (Data = 300626899, 3)"
"[09] Número de ciclos/horas de encendido:","26/Siempre normales, Peor: 26 (64842 horas / 7.40 años)"
"[0A] Giro número de reintentos:","100/97, Peor: 100"
"[0C] Recuento de ciclos de potencia:","97/20, Peor: 97 (Data = 3526, 0)"
"[B4] Recuento de bloques reservados no utilizados (total):","100/Siempre normales, Peor: 100 (Data = 10181755, 0)"
"[B7] Desplazamiento descendente de la interfaz SATA/bloque defectuoso del tiempo de ejecución:","100/Siempre normales, Peor: 100"
"[B8] Recuento de detección de errores de extremo a extremo:","100/97, Peor: 100"
"[BB] Errores no corregibles informados:","1/Siempre normales, Peor: 1 (Data = 5058, 0)"
"[BC] Recuento de tiempo de espera del comando:","100/Siempre normales, Peor: 99 (Data = 65540, 1)"
"[BD] High Fly escribe:","100/Siempre normales, Peor: 100"
"[BE] Temperatura del flujo de aire / Recuento excedido:","68/45, Peor: 52 (32.0 °C)"
"[C2] Temperatura:","32/Siempre normales, Peor: 48 (32.0 °C)"
"[C3] Hardware ECC recuperado:","55/Siempre normales, Peor: 33 (Data = 403344, 0)"
"[C4] Recuento de eventos de reasignación:","100/36, Peor: 100"
"[C5] Recuento actual de sectores pendientes:","100/Siempre normales, Peor: 100"
"[C6] Recuento de sectores incorregibles fuera de línea:","100/Siempre normales, Peor: 100 (Data = 24, 0, 0)"
"[C7] Tasa de error UltraDMA/SATA CRC:","200/Siempre normales, Peor: 200"

hp HLDS DVDRW  GUD1N

"Modelo de unidad:","hp HLDS DVDRW  GUD1N"
"Revisión de firmware de la unidad:","LD02"
"Firmware Date:","2016-10-28 12:54:  "
"Número de serie:","652CN065317 "
"Tipo de dispositivo:","DVD+R DL"
"La unidad puede leer:","CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"
"La unidad puede escribir:","CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"

Audio


Intel Skylake PCH-H - High Definition Audio Controller

"Adaptador de sonido:","Intel Skylake PCH-H - High Definition Audio Controller"
"ID de hardware del controlador de audio:","PCI\VEN_8086&DEV_A170&SUBSYS_8062103C&REV_31"
"Códec de audio de alta definición:","Intel"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_8086&DEV_2809&SUBSYS_80860101&REV_1000"
"Fabricante del controlador:","Intel(R) Corporation"
"Descripción del controlador:","Sonido Intel(R) para pantallas"
"Proveedor de controladores:","Intel(R) Corporation"
"Versión del controlador:","10.26.0.12"
"Fecha del controlador:","20-Nov-2021"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_8086&DEV_2809&SUBSYS_80860101&REV_1000\4&16AE4206&0&0201"
"Códec de audio de alta definición:","RealTek ALC221"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0221&SUBSYS_103C8062&REV_1001"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek High Definition Audio"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","6.0.8844.1"
"Fecha del controlador:","18-Nov-2019"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10EC&DEV_0221&SUBSYS_103C8062&REV_1001\4&16AE4206&0&0001"

Red


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Tarjeta de red:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Descripción del proveedor:","Realtek PCIe GbE Family Controller"
"Dirección MAC:","C8-D3-FF-3E-8C-F6"
"Velocidad máxima de enlace:","100 Mbps"
"Tamaño del búfer de transmisión:","193792 Bytes"
"Tamaño del búfer de recepción:","775168 Bytes"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_8062103C&REV_15"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek PCIe GbE Family Controller"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","10.35.510.2019"
"Fecha del controlador:","09-May-2019"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_8062103C&REV_15\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Puertos


Puertos seriales


COM1


USB


Controlador de host eXtensible Intel(R) USB 3.0 - 1.0 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : HP, PID=064A

"Fabricante del dispositivo:","Primax"
"Nombre del producto:","HP USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_03F0&PID_064A"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4474"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_064A\5&13E29374&0&5"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : HP Optical Mouse

"Fabricante del dispositivo:","PixArt"
"Nombre del producto:","HP USB Optical Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_03F0&PID_134A"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_134A\5&13E29374&0&6"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : Device General Failure


[Port12] : Device General Failure


[Port13] : Device General Failure


[Port14] : Device General Failure


[Port15] : Device General Failure


[Port16] : Device General Failure


[Port17] : No Device Connected


[Port18] : No Device Connected


[Port19] : No Device Connected


[Port20] : No Device Connected

