
FACTURACION3

"Nombre del computadora:","FACTURACION3"
"Fecha del controlador:","02-Feb-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_5A84&SUBSYS_36C417AA&REV_0B\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


Lenovo [Unknown Model: LEN0017]

"Nombre del monitor:","Lenovo [Unknown Model: LEN0017]"
"Nombre del monitor (del fabricante):","LEN-AIO310-E "
"Número de serie:","1"
"Fecha de manufactura:","Semana: 29, Año: 2016"
"ID de hardware del monitor:","Monitor\LEN0017"
"Máx. Tamaño vertical:","32 cm"
"Máx. Tamaño horizontal:","52 cm"
"Señal de entrada:","Digital"
"Color Bit Depth:","8 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","No soportado"
"Suspend:","No soportado"
"Active Off:","No soportado"
"Standard Colour Space (sRGB) Default:","No soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"DFP 1.x Compatible:","Sí"
"1440 x 900","0 x 0 mm, Reloj de píxeles 103.80 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\LEN0017\4&2A306AB1&0&UID265988"
"Location Paths","ACPI(_SB_)#ACPI(PCI0)#ACPI(GFX0)#ACPI(DD1F)"

Unidades de disco


Unidades (S)ATA/ATAPI


WDC WD10JPVX-08JC3T6

"Controlador de disco:","Serial ATA 6Gb/s @ 6Gb/s"
"Controlador de host:","Intel Apollo Lake SoC - SATA Controller"
"Modelo de unidad:","WDC WD10JPVX-08JC3T6"
"Revisión de firmware de la unidad:","08.01A08"
"Número de serie de la unidad:","WD-WXG1A9785USX"
"Nombre mundial (WWN):","50014EE65D6477D4"
"Capacidad de la unidad:","953,869 MBytes (1000 GB)"
"Drive Capacity [MB]:","953869"
"Tasa de rotación de medios:","5400 RPM"
"Versión principal de ATA admitida:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2"
"Versión de transporte ATA admitida:","SATA 3.0"
"Número de cilindros:","16383"
"Número de cabezas:","16"
"Sectores por pista:","63"
"Número de sectores:","16514064"
"Total de sectores LBA de 48 bits:","1953525168"
"Tamaño del sector lógico:","512 Bytes"
"Tamaño del búfer/caché:","8192 KBytes"
"Sectores por interrupción:","Total: 16, Active: 16"
"Máx. Modo de transferencia PIO:","4"
"Multiword DMA Mode:","Total: 2, Active: 0"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Inactive"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Soportado, Máx. Profundidad: 32"
"Comando TRIM:","No soportado"
"Unidad fija:","Presente"
"Unidad extraíble:","No presente"
"Almacenamiento magnético:","Presente"
"Modo LBA:","Soportado"
"Modo DMA:","Soportado"
"IORDY:","Soportado"
"IORDY Deshabilitar:","Soportado"
"Caché grabable:","Presente, Activo"
"Función SMART:","Presente, Activo"
"Característica de seguridad:","Presente, Inactivo"
"Función de medios extraíbles:","No presente, Deshabilitado"
"Administración de energía:","Presente, Activo"
"Administración avanzada de energía:","Presente, Activo"
"Interfaz de paquetes:","No presente, Deshabilitado"
"Búfer de anticipación:","Presente, Activo"
"Área Protegida del Anfitrión:","Presente, Activado"
"Encendido en modo de espera:","No soportado, Inactivo"
"Gestión Acústica Automática:","No soportado, Inactivo"
"48-bit LBA:","Soportado, Activo"
"Administración de energía del enlace iniciado por el host (HIPM):","No soportado"
"Administración de energía de enlace iniciada por dispositivo (DIPM):","Soportado, Deshabilitado"
"In-Order Data Delivery:","No soportado"
"Control de funciones de hardware:","No soportado"
"Conservación de la configuración del software:","Soportado, Activado"
"NCQ Autosense:","No soportado"
"Link Power State Device Sleep:","No soportado"
"Función de información híbrida:","No soportado"
"Asistencia de reconstrucción:","No soportado"
"Deshabilitar energía:","No soportado"
"All Write Cache Non-Volatile:","No soportado"
"Número extendido de sectores direccionables por el usuario:","No soportado"
"CFast Specification:","No soportado"
"Información de prioridad de NCQ:","Soportado"
"Host Automatic Partial to Slumber Transitions:","No soportado"
"Device Automatic Partial to Slumber Transitions:","Soportado"
"NCQ Streaming:","No soportado"
"Comando de gestión de colas NCQ:","No soportado"
"DevSleep to Reduced Power State:","No soportado"
"Out Of Band Management Interface:","No soportado"
"Característica de condiciones de energía extendida:","No soportado"
"Función de informe de datos de sentido:","No soportado"
"Función de control de caída libre:","No soportado"
"Función de escritura, lectura y verificación:","No soportado"
"Característica de seguridad:","Soportado"
"Estado de seguridad:","Deshabilitado"
"Seguridad bloqueada:","Deshabilitado"
"Seguridad congelada:","Activado"
"Borrado de seguridad mejorado:","Soportado"
"Sanitize Feature:","No soportado"
"Sanitize Device - Crypto Scramble:","No soportado"
"Sanitize Device - Overwrite:","No soportado"
"Sanitize Device - Block Erase:","No soportado"
"Sanitize Device - Antifreeze Lock:","No soportado"
"Device Encrypts All User Data:","No soportado"
"Trusted Computing:","No soportado"
"[01] Tasa de errores en la lectura:","200/51, Peor: 200"
"[03] Spin Up Time:","184/21, Peor: 181 (Data = 1800, 0)"
"[04] Recuento de inicio/parada:","1/Siempre normales, Peor: 1 (Data = 171122, 0)"
"[05] Reasignado el conteo del sector:","200/140, Peor: 200"
"[07] Tasa de error de búsqueda:","200/51, Peor: 200"
"[09] Número de ciclos/horas de encendido:","45/Siempre normales, Peor: 45 (40643 horas / 4.64 años)"
"[0A] Giro número de reintentos:","100/Siempre normales, Peor: 100"
"[0B] Recuento de reintentos de calibración:","100/Siempre normales, Peor: 100"
"[0C] Recuento de ciclos de potencia:","97/Siempre normales, Peor: 97 (Data = 3595, 0)"
"[C0] Recuento de retracción de apagado:","200/Siempre normales, Peor: 200 (Data = 407, 0)"
"[C1] Recuento de ciclos de carga/descarga:","1/Siempre normales, Peor: 1 (Data = 767080, 0)"
"[C2] Temperatura:","106/Siempre normales, Peor: 95 (41.0 °C)"
"[C4] Recuento de eventos de reasignación:","200/Siempre normales, Peor: 200"
"[C5] Recuento actual de sectores pendientes:","200/Siempre normales, Peor: 200"
"[C6] Recuento de sectores incorregibles fuera de línea:","100/Siempre normales, Peor: 253"
"[C7] Tasa de error UltraDMA/SATA CRC:","200/Siempre normales, Peor: 200"
"[C8] Tasa de error de escritura/multizona:","200/Siempre normales, Peor: 200"
"[F0] Head Flying Hours:","48/Siempre normales, Peor: 48 (Data = 38686, 0)"

HL-DT-ST DVDRAM GUD0N

"Modelo de unidad:","HL-DT-ST DVDRAM GUD0N"
"Revisión de firmware de la unidad:","LW01"
"Firmware Date:","2016-10-13 09:52:00"
"Número de serie:","KZGHBHD0856 "
"Tipo de dispositivo:","DVD+R DL"
"La unidad puede leer:","CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD-RAM, DVD+R DL"
"La unidad puede escribir:","CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD-RAM, DVD+R DL"

Audio


Intel Apollo Lake SoC - High Definition Audio Controller

"Adaptador de sonido:","Intel Apollo Lake SoC - High Definition Audio Controller"
"ID de hardware del controlador de audio:","PCI\VEN_8086&DEV_5A98&SUBSYS_36C417AA&REV_0B"
"Códec de audio de alta definición:","RealTek"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0235&SUBSYS_17AA36C4&REV_1000"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek High Definition Audio"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","6.0.8978.1"
"Fecha del controlador:","22-Jun-2020"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10EC&DEV_0235&SUBSYS_17AA36C4&REV_1000\4&231E4599&0&0001"
"Códec de audio de alta definición:","Intel Broxton HDMI"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_8086&DEV_280A&SUBSYS_80860101&REV_1000"
"Fabricante del controlador:","Intel(R) Corporation"
"Descripción del controlador:","Sonido Intel(R) para pantallas"
"Proveedor de controladores:","Intel(R) Corporation"
"Versión del controlador:","10.26.0.11"
"Fecha del controlador:","28-Jul-2021"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_8086&DEV_280A&SUBSYS_80860101&REV_1000\4&231E4599&0&0201"

Red


Atheros/Qualcomm QCA9377 802.11ac Wireless Network Adapter

"Tarjeta de red:","Atheros/Qualcomm QCA9377 802.11ac Wireless Network Adapter"
"Descripción del proveedor:","Microsoft"
"Dirección MAC:","98-22-EF-C5-95-0B"
"Velocidad máxima de enlace:","2460 Mbps"
"Tamaño del búfer de transmisión:","Desconocido"
"Tamaño del búfer de recepción:","Desconocido"
"ID de hardware:","PCI\VEN_168C&DEV_0042&SUBSYS_090117AA&REV_31"
"Fabricante del controlador:","Qualcomm Atheros Communications Inc."
"Descripción del controlador:","Qualcomm Atheros QCA9377 Wireless Network Adapter"
"Proveedor de controladores:","Qualcomm Atheros Communications Inc."
"Versión del controlador:","12.0.0.1118"
"Fecha del controlador:","18-May-2021"
"DeviceInstanceId","PCI\VEN_168C&DEV_0042&SUBSYS_090117AA&REV_31\4&19756B01&0&0098"
"Location Paths","PCIROOT(0)#PCI(1300)#PCI(0000)"

RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Tarjeta de red:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Descripción del proveedor:","Realtek Ethernet Controller"
"Dirección MAC:","1C-83-41-24-6C-6B"
"Velocidad máxima de enlace:","100 Mbps"
"Tamaño del búfer de transmisión:","193792 Bytes"
"Tamaño del búfer de recepción:","387584 Bytes"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_36C417AA&REV_0C"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Controladora de la familia Realtek PCIe GbE"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","9.1.410.2015"
"Fecha del controlador:","09-Apr-2015"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_36C417AA&REV_0C\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1302)#PCI(0000)"

Puertos


Puertos seriales


USB


Controlador de host eXtensible Intel(R) USB 3.0 - 1.0 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : Atheros Communications Qualcomm Atheros QCA9377 Bluetooth 4.1

"Fabricante del dispositivo:","Atheros Communications Qualcomm Atheros Valkyrie BootROM"
"Nombre del producto:","Atheros Communications Qualcomm Atheros QCA9377 Bluetooth 4.1"
"Número de serie:","-"
"Versión USB admitida:","2.01"
"Velocidad del dispositivo USB:","USB 1.1 Full-speed"
"Descripción del controlador:","Qualcomm Atheros QCA9377 Bluetooth"
"ID de hardware:","USB\VID_0CF3&PID_E500"
"Fabricante del controlador:","Qualcomm Atheros Communications"
"Descripción del controlador:","Qualcomm Atheros QCA9377 Bluetooth"
"Proveedor de controladores:","Qualcomm Atheros Communications"
"Versión del controlador:","10.0.0.916"
"Fecha del controlador:","07-Aug-2019"
"DeviceInstanceId","USB\VID_0CF3&PID_E500\5&101C6775&0&3"
"Location Paths","PCIROOT(0)#PCI(1500)#USBROOT(0)#USB(3)"

[Port4] : Lenovo, PID=608D

"Fabricante del dispositivo:","PixArt"
"Nombre del producto:","Lenovo USB Optical Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_17EF&PID_608D"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_608D\5&101C6775&0&4"
"Location Paths","PCIROOT(0)#PCI(1500)#USBROOT(0)#USB(4)"

[Port5] : Lenovo, PID=608C

"Fabricante del dispositivo:","Lenovo"
"Nombre del producto:","Lenovo Calliope USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_17EF&PID_608C"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_608C\5&101C6775&0&5"
"Location Paths","PCIROOT(0)#PCI(1500)#USBROOT(0)#USB(5)"

[Port6] : Syntek Integrated Camera

"Fabricante del dispositivo:","Syntek"
"Nombre del producto:","Syntek Integrated Camera"
"Número de serie:","-"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_174F&PID_240E"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_174F&PID_240E\200901010001"
"Location Paths","PCIROOT(0)#PCI(1500)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected

