
ARCHIVO-CALERA

"Nombre del computadora:","ARCHIVO-CALERA"
"DeviceInstanceId","PCI\VEN_8086&DEV_0102&SUBSYS_20178086&REV_09\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


Hewlett-Packard [Unknown Model: HWP3005]

"Nombre del monitor:","Hewlett-Packard [Unknown Model: HWP3005]"
"Nombre del monitor (del fabricante):","HP LV1911    "
"Número de serie:","6CM3292YH5   "
"Fecha de manufactura:","Semana: 29, Año: 2013"
"ID de hardware del monitor:","Monitor\HWP3005"
"Máx. Tamaño vertical:","23 cm"
"Máx. Tamaño horizontal:","41 cm"
"Frecuencia horizontal:","24 - 83 kHz"
"Frecuencia vertical:","50 - 76 Hz"
"Reloj máximo de píxeles:","140 MHz"
"Señal de entrada:","Analógico: 0.700 V / 0.000 V (0.700 V p-p)"
"Tipo de visualización:","color RGB"
"Gamma Factor:","2.20"
"Standby:","No soportado"
"Suspend:","No soportado"
"Active Off:","Soportado"
"Standard Colour Space (sRGB) Default:","Soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"Serration VSync:","No soportado"
"Sync On Green:","No soportado"
"Composite Sync:","No soportado"
"Separate Syncs:","Soportado"
"Blank-to-black Setup:","No soportado"
"1280 x 720","60 Hz"
"1280 x 1024","60 Hz"
"1366 x 768","410 x 230 mm, Reloj de píxeles 85.50 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\HWP3005\4&105E7CA3&0&UID16843008"

Unidades de disco


Unidades (S)ATA/ATAPI


KINGSTON SA400S37/240G

"Controlador de disco:","Serial ATA 6Gb/s @ 3Gb/s"
"Controlador de host:","Intel Cougar Point PCH - SATA AHCI 6-Port Controller [B3]"
"Modelo de unidad:","KINGSTON SA400S37/240G"
"Revisión de firmware de la unidad:","HP3618B5"
"Número de serie de la unidad:","K300000000000044"
"Nombre mundial (WWN):","0000"
"Capacidad de la unidad:","228,936 MBytes (240 GB)"
"Drive Capacity [MB]:","228936"
"Tasa de rotación de medios:","Unidad SSD (no giratoria)"
"Factor de forma nominal:","2.5"""
"Versión principal de ATA admitida:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3, ACS-4"
"Versión secundaria de ATA admitida:","ACS-4 Revision 5"
"Versión de transporte ATA admitida:","SATA 3.2"
"Número de cilindros:","16383"
"Número de cabezas:","16"
"Sectores por pista:","63"
"Número de sectores:","16514064"
"Total de sectores LBA de 48 bits:","468862128"
"Tamaño del sector lógico:","512 Bytes"
"Tamaño del búfer/caché:","N/A"
"Sectores por interrupción:","Total: 8, Active: 8"
"Máx. Modo de transferencia PIO:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Soportado, Máx. Profundidad: 32"
"Comando TRIM:","Soportado (lectura indeterminada después de TRIM)"
"Unidad fija:","Presente"
"Unidad extraíble:","No presente"
"Almacenamiento magnético:","Presente"
"Modo LBA:","Soportado"
"Modo DMA:","Soportado"
"IORDY:","Soportado"
"IORDY Deshabilitar:","Soportado"
"Caché grabable:","Presente, Activo"
"Función SMART:","Presente, Activo"
"Característica de seguridad:","Presente, Inactivo"
"Función de medios extraíbles:","No presente, Deshabilitado"
"Administración de energía:","Presente, Activo"
"Administración avanzada de energía:","No presente, Inactivo"
"Interfaz de paquetes:","No presente, Deshabilitado"
"Búfer de anticipación:","Presente, Activo"
"Área Protegida del Anfitrión:","No presente, Activado"
"Encendido en modo de espera:","No soportado, Inactivo"
"Gestión Acústica Automática:","No soportado, Inactivo"
"48-bit LBA:","Soportado, Activo"
"Administración de energía del enlace iniciado por el host (HIPM):","No soportado"
"Administración de energía de enlace iniciada por dispositivo (DIPM):","No soportado"
"In-Order Data Delivery:","No soportado"
"Control de funciones de hardware:","No soportado"
"Conservación de la configuración del software:","Soportado, Activado"
"NCQ Autosense:","No soportado"
"Link Power State Device Sleep:","No soportado"
"Función de información híbrida:","No soportado"
"Asistencia de reconstrucción:","No soportado"
"Deshabilitar energía:","No soportado"
"All Write Cache Non-Volatile:","No soportado"
"Número extendido de sectores direccionables por el usuario:","No soportado"
"CFast Specification:","No soportado"
"Información de prioridad de NCQ:","No soportado"
"Host Automatic Partial to Slumber Transitions:","Soportado"
"Device Automatic Partial to Slumber Transitions:","Soportado"
"NCQ Streaming:","No soportado"
"Comando de gestión de colas NCQ:","No soportado"
"DevSleep to Reduced Power State:","No soportado"
"Out Of Band Management Interface:","No soportado"
"Característica de condiciones de energía extendida:","No soportado"
"Función de informe de datos de sentido:","No soportado"
"Función de control de caída libre:","No soportado"
"Función de escritura, lectura y verificación:","No soportado"
"Característica de seguridad:","Soportado"
"Estado de seguridad:","Deshabilitado"
"Seguridad bloqueada:","Deshabilitado"
"Seguridad congelada:","Activado"
"Borrado de seguridad mejorado:","Soportado"
"Sanitize Feature:","Soportado"
"Sanitize Device - Crypto Scramble:","No soportado"
"Sanitize Device - Overwrite:","No soportado"
"Sanitize Device - Block Erase:","Soportado"
"Sanitize Device - Antifreeze Lock:","No soportado"
"Device Encrypts All User Data:","No soportado"
"Trusted Computing:","No soportado"
"[01] Tasa de errores en la lectura:","100/50, Peor: 100"
"[05] Reasignado el conteo del sector:","100/50, Peor: 100"
"[09] Número de ciclos/horas de encendido:","100/50, Peor: 100 (7 horas)"
"[0C] Recuento de ciclos de potencia:","100/50, Peor: 100 (Data = 11, 0)"
"[A0] Recuento inicial de bloques defectuosos:","100/50, Peor: 100"
"[A1] Recuento actual de bloques defectuosos:","100/50, Peor: 100 (Data = 3684, 0)"
"[A3] Max PE Cycle:","100/50, Peor: 100 (Data = 40, 0)"
"[A4] Recuento promedio de borrados:","100/50, Peor: 100"
"[A5] Recuento inicial de bloques defectuosos:","100/50, Peor: 100"
"[A6] Min W/E Cycle:","100/50, Peor: 100"
"[A7] Modo de protección SSD:","100/50, Peor: 100"
"[A8] Recuento de errores SATA PHY:","100/50, Peor: 100"
"[A9] Recuento total de bloques defectuosos:","100/50, Peor: 100 (Data = 100, 0)"
"[AF] Recuento de tabla de clúster incorrecto:","100/50, Peor: 100"
"[B0] Borrar recuento de errores:","100/50, Peor: 100 (Data = 72, 0)"
"[B1] Recuento de nivelación de desgaste:","100/50, Peor: 100 (Data = 9066, 0)"
"[B2] Recuento de bloques reservados usados (chip):","100/50, Peor: 100 (Data = 2, 0)"
"[B5] Recuento de errores del programa (total):","100/50, Peor: 100"
"[B6] Recuento de errores de borrado (total):","100/50, Peor: 100"
"[C0] Recuento de apagados inseguros:","100/50, Peor: 100 (Data = 4, 0)"
"[C2] Temperatura:","100/50, Peor: 100 (30.0 °C)"
"[C3] Tasa de errores de ECC:","100/50, Peor: 100 (Data = 51, 0)"
"[C4] Recuento posterior de bloques defectuosos:","100/50, Peor: 100"
"[C5] Recuento actual de sectores pendientes:","100/50, Peor: 100"
"[C6] Recuento de sectores incorregibles fuera de línea:","100/50, Peor: 100"
"[C7] Recuento de errores SATA CRC:","100/50, Peor: 100"
"[E8] Espacio reservado disponible:","100/50, Peor: 100 (Data = 100, 0)"
"[F1] Número de escrituras de host:","100/50, Peor: 100 (Data = 2452, 0)"
"[F2] Número de lecturas de host:","100/50, Peor: 100 (Data = 2588, 0)"
"Restablecimientos de encendido de por vida:","11"
"Horas de encendido:","7"
"Número de sectores lógicos escritos:","160694272"
"Número de sectores lógicos leídos:","169607168"
"Número de comandos de escritura:","2897090"
"Número de comandos de lectura:","2430498"

ATAPI iHAS124   B

"Modelo de unidad:","ATAPI iHAS124   B"
"Revisión de firmware de la unidad:","AL0H"
"Número de serie:","3743524215 358049501584 "
"Tipo de dispositivo:","DVD+R DL"
"La unidad puede leer:","CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"
"La unidad puede escribir:","CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"

Audio


Intel Cougar Point PCH - High Definition Audio Controller [B3]

"Adaptador de sonido:","Intel Cougar Point PCH - High Definition Audio Controller [B3]"
"ID de hardware del controlador de audio:","PCI\VEN_8086&DEV_1C20&SUBSYS_20178086&REV_05"
"Códec de audio de alta definición:","RealTek ALC892"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0892&SUBSYS_80862017&REV_1003"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Dispositivo de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","18-Oct-2023"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10EC&DEV_0892&SUBSYS_80862017&REV_1003\4&BBAD619&0&0001"

Red


Intel 82579V (Lewisville) Gigabit Network Connection

"Tarjeta de red:","Intel 82579V (Lewisville) Gigabit Network Connection"
"Descripción del proveedor:","Intel(R) 82579V Gigabit Network Connection"
"Dirección MAC:","E0-69-95-3B-91-4F"
"Velocidad máxima de enlace:","1000 Mbps"
"Tamaño del búfer de transmisión:","775168 Bytes"
"Tamaño del búfer de recepción:","389632 Bytes"
"ID de hardware:","PCI\VEN_8086&DEV_1503&SUBSYS_20178086&REV_05"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) 82579V Gigabit Network Connection"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","12.17.10.8"
"Fecha del controlador:","11-Jun-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_1503&SUBSYS_20178086&REV_05\3&11583659&0&C8"
"Location Paths","PCIROOT(0)#PCI(1900)"

Puertos


Puertos seriales


COM1


USB


Controladora de host mejorada USB de la familia Chipset Intel(R) serie 6/serie C200 - 1C2D


Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_0024"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0024\5&453FC50&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)"

[Port1] : Lenovo, PID=608C

"Fabricante del dispositivo:","LiteOn"
"Nombre del producto:","Lenovo Calliope USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_17EF&PID_608C"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_608C\6&1BCAD829&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)#USB(1)"

[Port2] : HP Optical Mouse

"Fabricante del dispositivo:","HP"
"Nombre del producto:","HP Optical Mouse"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_03F0&PID_134A"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_134A\6&1BCAD829&0&2"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)#USB(2)"

[Port3] : No Device Connected


[Port4] : No Device Connected


[Port2] : No Device Connected


Controladora de host mejorada USB de la familia Chipset Intel(R) serie 6/serie C200 - 1C26


Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_0024"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0024\5&84E1736&0&1"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : Device Failed Enumeration


[Port6] : No Device Connected


[Port2] : No Device Connected

