
CLINICACALERAUR

"Nombre del computadora:","CLINICACALERAUR"
"Número de dirección PCI (Bus: Dispositivo: Función):","1:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_82A2103C&REV_15"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","3F00"
"Dirección base de memoria 2","CE9FB000"
"Dirección base de memoria 4","CE9FC000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Controladora de la familia Realtek PCIe GbE"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","9.1.410.2015"
"Fecha del controlador:","09-Apr-2015"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_82A2103C&REV_15\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Intel H270 PCH - LPC/eSPI Controller [A0]

"Nombre del dispositivo:","Intel H270 PCH - LPC/eSPI Controller [A0]"
"Nombre del dispositivo original:","Intel H270 PCH - LPC/eSPI Controller [A0]"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A2C4&SUBSYS_82A2103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI ISA estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_A2C4&SUBSYS_82A2103C&REV_00\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Kaby Lake - Power Management Controller (PMC) [A0]

"Nombre del dispositivo:","Intel Kaby Lake - Power Management Controller (PMC) [A0]"
"Nombre del dispositivo original:","Intel Kaby Lake - Power Management Controller (PMC) [A0]"
"Clase de dispositivo:","Other Memory"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A2A1&SUBSYS_82A2103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Dirección base de memoria 0","CEA10000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_A2A1&SUBSYS_82A2103C&REV_00\3&11583659&0&FA"
"Location Paths","PCIROOT(0)#PCI(1F02)"

Intel Kaby Lake - High Definition Audio / cAVS (Audio, Voice, Speech) [A0]

"Nombre del dispositivo:","Intel Kaby Lake - High Definition Audio / cAVS (Audio, Voice, Speech) [A0]"
"Nombre del dispositivo original:","Intel Kaby Lake - High Definition Audio / cAVS (Audio, Voice, Speech) [A0]"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A2F0&SUBSYS_82A2103C&REV_00"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","1FFFFEC000"
"Dirección base de memoria 4","1FFFFF0000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","18-Oct-2023"
"DeviceInstanceId","PCI\VEN_8086&DEV_A2F0&SUBSYS_82A2103C&REV_00\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Kaby Lake - SMBus Controller [A0]

"Nombre del dispositivo:","Intel Kaby Lake - SMBus Controller [A0]"
"Nombre del dispositivo original:","Intel Kaby Lake - SMBus Controller [A0]"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:4"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A2A3&SUBSYS_82A2103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","1FF1014000"
"Dirección base de E/S 4","EFA0"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_A2A3&SUBSYS_82A2103C&REV_00\3&11583659&0&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Adaptador gráfico


Intel HD Graphics 630

"Chipset de gráficos:","Intel HD Graphics 630"
"Nombre en clave del chipset de gráficos:","Kaby Lake-S GT2"
"Memoria gráfica:","1024 MBytes"
"Tarjeta grafica:","Intel HD Graphics 630 (Kaby Lake-S GT2) [Hewlett-Packard]"
"Bus de tarjeta gráfica:","PCIe v2.0 x0 (5.0 GT/s) @ [DISABLED]"
"GPU Type:","Integrated"
"Gráficos RAMDAC:","Internal"
"Frecuencia del procesador de gráficos:","348.8 MHz"
"Frecuencia de memoria gráfica:","1195.0 MHz"
"Ancho del bus de memoria gráfica:","64-bit"
"Número de ALU (núcleos):","192"
"Número de EU (unidades de ejecución):","24"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_8086&DEV_5912&SUBSYS_82A2103C&REV_04"
"Ubicación PCI (Bus:Dispositivo:Función):","0:02:0"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics 630"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","31.0.101.2111"
"Fecha del controlador:","18-Jul-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_5912&SUBSYS_82A2103C&REV_04\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


Hewlett-Packard/Compaq W17q

"Nombre del monitor:","Hewlett-Packard/Compaq W17q"
"Nombre del monitor (del fabricante):","Compaq W17q  "
"Número de serie:","CNC820P84X   "
"Fecha de manufactura:","Semana: 20, Año: 2008"
"ID de hardware del monitor:","Monitor\HWP26E1"
"Máx. Tamaño vertical:","23 cm"
"Máx. Tamaño horizontal:","37 cm"
"Frecuencia horizontal:","30 - 83 kHz"
"Frecuencia vertical:","55 - 75 Hz"
"Reloj máximo de píxeles:","140 MHz"
"Señal de entrada:","Digital"
"Color Bit Depth:","8 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","Soportado"
"Suspend:","Soportado"
"Active Off:","Soportado"
"Standard Colour Space (sRGB) Default:","Soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"DFP 1.x Compatible:","Sí"
"1152 x 864","75 Hz"
"1440 x 900","60 Hz"
"1440 x 900","75 Hz"
"1280 x 1024","60 Hz"
"1280 x 1024","70 Hz"
"1440 x 900","408 x 255 mm, Reloj de píxeles 106.50 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\HWP26E1\4&20E17F6C&0&UID224795"
"Location Paths","ACPI(_SB_)#ACPI(PCI0)#ACPI(GFX0)#ACPI(DD04)"

Unidades de disco


Unidades (S)ATA/ATAPI


WDC WD5000AZLX-60K2TA0

"Controlador de disco:","Serial ATA 6Gb/s @ 6Gb/s"
"Controlador de host:","Intel Kaby Lake - SATA AHCI Controller [A0]"
"Modelo de unidad:","WDC WD5000AZLX-60K2TA0"
"Revisión de firmware de la unidad:","01.01A01"
"Número de serie de la unidad:","WD-WCC6Z0JS3L79"
"Nombre mundial (WWN):","50014EE2E966E54"
"Capacidad de la unidad:","476,940 MBytes (500 GB)"
"Drive Capacity [MB]:","476940"
"Tasa de rotación de medios:","7200 RPM"
"Factor de forma nominal:","3.5"""
"Versión principal de ATA admitida:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3"
"Versión secundaria de ATA admitida:","ACS-3 Revision 5"
"Versión de transporte ATA admitida:","SATA 3.1"
"Número de cilindros:","16383"
"Número de cabezas:","16"
"Sectores por pista:","63"
"Número de sectores:","16514064"
"Total de sectores LBA de 48 bits:","976773168"
"Tamaño del sector lógico:","512 Bytes"
"Tamaño del búfer/caché:","32768 KBytes"
"Sectores por interrupción:","Total: 16, Active: 16"
"Máx. Modo de transferencia PIO:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 5 (ATA-100), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Soportado, Máx. Profundidad: 32"
"Comando TRIM:","No soportado"
"Unidad fija:","Presente"
"Unidad extraíble:","No presente"
"Almacenamiento magnético:","Presente"
"Modo LBA:","Soportado"
"Modo DMA:","Soportado"
"IORDY:","Soportado"
"IORDY Deshabilitar:","Soportado"
"Caché grabable:","Presente, Activo"
"Función SMART:","Presente, Activo"
"Característica de seguridad:","Presente, Inactivo"
"Función de medios extraíbles:","No presente, Deshabilitado"
"Administración de energía:","Presente, Activo"
"Administración avanzada de energía:","Presente, Activo"
"Interfaz de paquetes:","No presente, Deshabilitado"
"Búfer de anticipación:","Presente, Activo"
"Área Protegida del Anfitrión:","No presente, Deshabilitado"
"Encendido en modo de espera:","Soportado, Inactivo"
"Gestión Acústica Automática:","No soportado, Inactivo"
"48-bit LBA:","Soportado, Activo"
"Administración de energía del enlace iniciado por el host (HIPM):","No soportado"
"Administración de energía de enlace iniciada por dispositivo (DIPM):","Soportado, Deshabilitado"
"In-Order Data Delivery:","No soportado"
"Control de funciones de hardware:","No soportado"
"Conservación de la configuración del software:","Soportado, Activado"
"NCQ Autosense:","Soportado"
"Link Power State Device Sleep:","No soportado"
"Función de información híbrida:","No soportado"
"Asistencia de reconstrucción:","No soportado"
"Deshabilitar energía:","No soportado"
"All Write Cache Non-Volatile:","No soportado"
"Número extendido de sectores direccionables por el usuario:","Soportado"
"CFast Specification:","No soportado"
"Información de prioridad de NCQ:","No soportado"
"Host Automatic Partial to Slumber Transitions:","No soportado"
"Device Automatic Partial to Slumber Transitions:","No soportado"
"NCQ Streaming:","No soportado"
"Comando de gestión de colas NCQ:","No soportado"
"DevSleep to Reduced Power State:","No soportado"
"Out Of Band Management Interface:","No soportado"
"Característica de condiciones de energía extendida:","Soportado, Deshabilitado"
"Función de informe de datos de sentido:","Soportado, Deshabilitado"
"Función de control de caída libre:","No soportado"
"Función de escritura, lectura y verificación:","No soportado"
"Característica de seguridad:","Soportado"
"Estado de seguridad:","Deshabilitado"
"Seguridad bloqueada:","Deshabilitado"
"Seguridad congelada:","Activado"
"Borrado de seguridad mejorado:","Soportado"
"Sanitize Feature:","Soportado"
"Sanitize Device - Crypto Scramble:","No soportado"
"Sanitize Device - Overwrite:","Soportado"
"Sanitize Device - Block Erase:","No soportado"
"Sanitize Device - Antifreeze Lock:","No soportado"
"Device Encrypts All User Data:","No soportado"
"Trusted Computing:","No soportado"
"[01] Tasa de errores en la lectura:","200/51, Peor: 200"
"[03] Spin Up Time:","169/21, Peor: 167 (Data = 2516, 0)"
"[04] Recuento de inicio/parada:","97/Siempre normales, Peor: 97 (Data = 3581, 0)"
"[05] Reasignado el conteo del sector:","200/140, Peor: 200"
"[07] Tasa de error de búsqueda:","200/51, Peor: 200"
"[09] Número de ciclos/horas de encendido:","72/Siempre normales, Peor: 72 (21007 horas / 2.40 años)"
"[0A] Giro número de reintentos:","100/51, Peor: 100"
"[0B] Recuento de reintentos de calibración:","100/Siempre normales, Peor: 100"
"[0C] Recuento de ciclos de potencia:","97/Siempre normales, Peor: 97 (Data = 3578, 0)"
"[B7] Desplazamiento descendente de la interfaz SATA/bloque defectuoso del tiempo de ejecución:","100/Siempre normales, Peor: 100"
"[B8] Recuento de detección de errores de extremo a extremo:","100/97, Peor: 100"
"[BB] Errores no corregibles informados:","100/Siempre normales, Peor: 100"
"[BC] Recuento de tiempo de espera del comando:","100/Siempre normales, Peor: 100"
"[BE] Temperatura del flujo de aire / Recuento excedido:","70/40, Peor: 59 (30.0 °C)"
"[C0] Recuento de retracción de apagado:","200/Siempre normales, Peor: 200 (Data = 214, 0)"
"[C1] Recuento de ciclos de carga/descarga:","199/Siempre normales, Peor: 199 (Data = 3976, 0)"
"[C2] Temperatura:","113/Siempre normales, Peor: 102 (30.0 °C)"
"[C4] Recuento de eventos de reasignación:","200/Siempre normales, Peor: 200"
"[C5] Recuento actual de sectores pendientes:","200/Siempre normales, Peor: 200"
"[C6] Recuento de sectores incorregibles fuera de línea:","200/Siempre normales, Peor: 200"
"[C7] Tasa de error UltraDMA/SATA CRC:","200/Siempre normales, Peor: 200"
"[C8] Tasa de error de escritura/multizona:","200/Siempre normales, Peor: 200"
"Restablecimientos de encendido de por vida:","3578"
"Horas de encendido:","21007"
"Número de sectores lógicos escritos:","31655565921"
"Número de sectores lógicos leídos:","14365116875"
"Número de comandos de escritura:","524447481"
"Número de comandos de lectura:","248503018"
"Horas de encendido del motor del husillo:","19628"
"Número de horas de vuelo principales:","19564"
"Eventos de carga de cabeza:","4191"
"Número de sectores lógicos reasignados:","0"
"Número de intentos de recuperación de lectura:","107"
"Número de fallas de arranque mecánico:","0"
"Número de Sectores Lógicos Candidatos de Reasignación:","0"
"Número de eventos de descarga de alta prioridad:","214"
"Número de errores incorregibles informados:","0"
"Número de restablecimientos entre la aceptación y finalización del comando:","0"
"Temperatura actual:","30 °C"
"Temperatura media a corto plazo:","31 °C"
"Temperatura media a largo plazo:","32 °C"
"Rango de temperatura de funcionamiento:","0 - 60 °C"
"Temperatura de por vida:","19 - 41 °C"
"Temperatura promedio a corto plazo de por vida:","27 - 37 °C"
"Temperatura promedio a largo plazo de por vida:","30 - 33 °C"
"Tiempo en baja temperatura:","0 minutos"
"Tiempo en exceso de temperatura:","0 minutos"
"Número de restablecimientos de hardware:","7714"
"Número de eventos ASR:","2751"
"Número de errores de interfaz CRC:","0"

hp HLDS DVDRW  GUD1N

"Modelo de unidad:","hp HLDS DVDRW  GUD1N"
"Revisión de firmware de la unidad:","LD02"
"Firmware Date:","2016-10-28 12:54:  "
"Número de serie:","723C2010688 "
"Tipo de dispositivo:","DVD+R DL"
"La unidad puede leer:","CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"
"La unidad puede escribir:","CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"

Audio


Intel Kaby Lake - High Definition Audio / cAVS (Audio, Voice, Speech) [A0]

"Adaptador de sonido:","Intel Kaby Lake - High Definition Audio / cAVS (Audio, Voice, Speech) [A0]"
"ID de hardware del controlador de audio:","PCI\VEN_8086&DEV_A2F0&SUBSYS_82A2103C&REV_00"
"Códec de audio de alta definición:","Intel"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_8086&DEV_280B&SUBSYS_80860101&REV_1000"
"Fabricante del controlador:","Intel(R) Corporation"
"Descripción del controlador:","Sonido Intel(R) para pantallas"
"Proveedor de controladores:","Intel(R) Corporation"
"Versión del controlador:","10.27.0.12"
"Fecha del controlador:","20-Nov-2021"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_8086&DEV_280B&SUBSYS_80860101&REV_1000\4&2D9A3DBA&0&0201"
"Códec de audio de alta definición:","Conexant"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_14F1&DEV_5098&SUBSYS_103C82A2&REV_1001"
"Fabricante del controlador:","Synaptics"
"Descripción del controlador:","Synaptics HD Audio"
"Proveedor de controladores:","Synaptics"
"Versión del controlador:","8.65.321.20"
"Fecha del controlador:","08-Nov-2020"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_14F1&DEV_5098&SUBSYS_103C82A2&REV_1001\4&2D9A3DBA&0&0001"

Red


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Tarjeta de red:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Descripción del proveedor:","Realtek Ethernet Controller"
"Dirección MAC:","C8-D3-FF-A8-09-9C"
"Velocidad máxima de enlace:","1000 Mbps"
"Tamaño del búfer de transmisión:","193792 Bytes"
"Tamaño del búfer de recepción:","775168 Bytes"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_82A2103C&REV_15"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Controladora de la familia Realtek PCIe GbE"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","9.1.410.2015"
"Fecha del controlador:","09-Apr-2015"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_82A2103C&REV_15\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Puertos


Puertos seriales


USB


Controlador de host eXtensible Intel(R) USB 3.0 - 1.0 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : Chicony Electronics, PID=3F41

"Fabricante del dispositivo:","Chicony "
"Nombre del producto:","HP Wired Desktop 320K Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_04F2&PID_3F41"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04F2&PID_3F41\5&205F861&0&3"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(3)"

[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : HP Optical Mouse [672662-001]

"Fabricante del dispositivo:","PixArt"
"Nombre del producto:","HP USB Optical Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_03F0&PID_094A"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_094A\5&205F861&0&9"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(9)"

[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


[Port19] : No Device Connected


[Port20] : No Device Connected


[Port21] : No Device Connected


[Port22] : No Device Connected


[Port23] : No Device Connected


[Port24] : No Device Connected

