
CLINICACALERA4

"Nombre del computadora:","CLINICACALERA4"
"Nombre del dispositivo original:","AMD Hudson-2/3/4 - High Definition Audio Controller"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","2"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:2"
"PCI Latency Timer:","32"
"ID de hardware:","PCI\VEN_1022&DEV_780D&SUBSYS_2171103C&REV_02"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FEB60000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","18-Oct-2023"
"DeviceInstanceId","PCI\VEN_1022&DEV_780D&SUBSYS_2171103C&REV_02\3&11583659&0&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

AMD Hudson-2/3/4 - LPC Bridge

"Nombre del dispositivo:","AMD Hudson-2/3/4 - LPC Bridge"
"Nombre del dispositivo original:","AMD Hudson-2/3/4 - LPC Bridge"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","11"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_780E&SUBSYS_2171103C&REV_11"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI ISA estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_780E&SUBSYS_2171103C&REV_11\3&11583659&0&A3"
"Location Paths","PCIROOT(0)#PCI(1403)"

AMD Family 16h Models 00h-0Fh CPU - Link Control

"Nombre del dispositivo:","AMD Family 16h Models 00h-0Fh CPU - Link Control"
"Nombre del dispositivo original:","AMD Family 16h Models 00h-0Fh CPU - Link Control"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:24:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1530&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1530&SUBSYS_00000000&REV_00\3&11583659&0&C0"
"Location Paths","PCIROOT(0)#PCI(1800)"

AMD Family 16h Models 00h-0Fh CPU - Address Map

"Nombre del dispositivo:","AMD Family 16h Models 00h-0Fh CPU - Address Map"
"Nombre del dispositivo original:","AMD Family 16h Models 00h-0Fh CPU - Address Map"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:24:1"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1531&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1531&SUBSYS_00000000&REV_00\3&11583659&0&C1"
"Location Paths","PCIROOT(0)#PCI(1801)"

AMD Family 16h Models 00h-0Fh CPU - DRAM Controller

"Nombre del dispositivo:","AMD Family 16h Models 00h-0Fh CPU - DRAM Controller"
"Nombre del dispositivo original:","AMD Family 16h Models 00h-0Fh CPU - DRAM Controller"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:24:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1532&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1532&SUBSYS_00000000&REV_00\3&11583659&0&C2"
"Location Paths","PCIROOT(0)#PCI(1802)"

AMD Family 16h Models 00h-0Fh CPU - Miscellaneous Control

"Nombre del dispositivo:","AMD Family 16h Models 00h-0Fh CPU - Miscellaneous Control"
"Nombre del dispositivo original:","AMD Family 16h Models 00h-0Fh CPU - Miscellaneous Control"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:24:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1533&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1533&SUBSYS_00000000&REV_00\3&11583659&0&C3"
"Location Paths","PCIROOT(0)#PCI(1803)"

AMD Family 16h Models 00h-0Fh CPU - Miscellaneous Control 2

"Nombre del dispositivo:","AMD Family 16h Models 00h-0Fh CPU - Miscellaneous Control 2"
"Nombre del dispositivo original:","AMD Family 16h Models 00h-0Fh CPU - Miscellaneous Control 2"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:24:4"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1534&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1534&SUBSYS_00000000&REV_00\3&11583659&0&C4"
"Location Paths","PCIROOT(0)#PCI(1804)"

AMD Family 16h Models 00h-0Fh CPU - Miscellaneous Control 3

"Nombre del dispositivo:","AMD Family 16h Models 00h-0Fh CPU - Miscellaneous Control 3"
"Nombre del dispositivo original:","AMD Family 16h Models 00h-0Fh CPU - Miscellaneous Control 3"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:24:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1535&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1535&SUBSYS_00000000&REV_00\3&11583659&0&C5"
"Location Paths","PCIROOT(0)#PCI(1805)"

Adaptador gráfico


AMD Radeon HD 8330

"Chipset de gráficos:","AMD Radeon HD 8330"
"Nombre en clave del chipset de gráficos:","Kabini"
"Memoria gráfica:","512 MBytes de DDR3 SDRAM"
"Tarjeta grafica:","AMD Radeon HD 8330 (Kabini) [Hewlett-Packard]"
"Bus de tarjeta gráfica:","PCIe v2.0 x0 (5.0 GT/s) @ [DISABLED]"
"GPU Type:","Integrated"
"Gráficos RAMDAC:","Internal DAC(400MHz)"
"Versión de BIOS de video:","015.033.000.001"
"Frecuencia del procesador de gráficos:","266.7 MHz"
"Frecuencia de memoria gráfica:","333.0 MHz (Eficaz 666.0 MHz)"
"Ancho del bus de memoria gráfica:","128-bit"
"Número de ROP:","4"
"Número de sombreadores unificados:","128"
"Número de TMU (Texture Mapping Units):","8"
"Versión de firmware SMU:","0.12.19"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_1002&DEV_9832&SUBSYS_2171103C&REV_00"
"Ubicación PCI (Bus:Dispositivo:Función):","0:01:0"
"Fabricante del controlador:","Advanced Micro Devices, Inc."
"Descripción del controlador:","AMD Radeon HD 8330"
"Proveedor de controladores:","Advanced Micro Devices, Inc."
"Versión del controlador:","27.20.1034.6"
"Versión del paquete del controlador AMD:","20.10.35.02-200821a-360470C-ATI"
"AMD Software Driver Version:","20.10.35.02"
"Fecha del controlador:","20-Aug-2020"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_1002&DEV_9832&SUBSYS_2171103C&REV_00\3&11583659&0&08"
"Location Paths","PCIROOT(0)#PCI(0100)"

Monitor


Hewlett-Packard [Unknown Model: HWP3005]

"Nombre del monitor:","Hewlett-Packard [Unknown Model: HWP3005]"
"Nombre del monitor (del fabricante):","HP LV1911    "
"Número de serie:","6CM31719F9   "
"Fecha de manufactura:","Semana: 17, Año: 2013"
"ID de hardware del monitor:","Monitor\HWP3005"
"Máx. Tamaño vertical:","23 cm"
"Máx. Tamaño horizontal:","41 cm"
"Frecuencia horizontal:","24 - 83 kHz"
"Frecuencia vertical:","50 - 76 Hz"
"Reloj máximo de píxeles:","140 MHz"
"Señal de entrada:","Analógico: 0.700 V / 0.000 V (0.700 V p-p)"
"Tipo de visualización:","color RGB"
"Gamma Factor:","2.20"
"Standby:","No soportado"
"Suspend:","No soportado"
"Active Off:","Soportado"
"Standard Colour Space (sRGB) Default:","Soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"Serration VSync:","No soportado"
"Sync On Green:","No soportado"
"Composite Sync:","No soportado"
"Separate Syncs:","Soportado"
"Blank-to-black Setup:","No soportado"
"1280 x 720","60 Hz"
"1280 x 1024","60 Hz"
"1366 x 768","410 x 230 mm, Reloj de píxeles 85.50 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\HWP3005\4&39182126&0&UID256"

Unidades de disco


Unidades (S)ATA/ATAPI


ST500DM002-1BD142

"Controlador de disco:","Serial ATA 6Gb/s @ 6Gb/s"
"Controlador de host:","AMD Hudson-2/3/4 - SATA AHCI Controller"
"Modelo de unidad:","Seagate ST500DM002-1BD142"
"Revisión de firmware de la unidad:","HP74"
"Número de serie de la unidad:","Z6E5VL62"
"Nombre mundial (WWN):","5000C500671A786B"
"Capacidad de la unidad:","476,940 MBytes (500 GB)"
"Drive Capacity [MB]:","476940"
"Tasa de rotación de medios:","7200 RPM"
"Versión principal de ATA admitida:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS"
"Versión secundaria de ATA admitida:","ATA8-ACS version 4"
"Versión de transporte ATA admitida:","SATA 3.0"
"Número de cilindros:","16383"
"Número de cabezas:","16"
"Sectores por pista:","63"
"Número de bytes ECC:","4"
"Número de sectores:","16514064"
"Total de sectores LBA de 48 bits:","976773168"
"Tamaño del sector lógico:","512 Bytes"
"Tamaño del búfer/caché:","16384 KBytes"
"Sectores por interrupción:","Total: 16"
"Máx. Modo de transferencia PIO:","4"
"Multiword DMA Mode:","Total: 2, Active: 2"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 5 (ATA-100), Inactive"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Ancho de transferencia:","16-bit"
"Native Command Queuing:","Soportado, Máx. Profundidad: 32"
"Comando TRIM:","No soportado"
"Unidad fija:","Presente"
"Unidad extraíble:","No presente"
"Almacenamiento magnético:","Presente"
"Modo LBA:","Soportado"
"Modo DMA:","Soportado"
"IORDY:","Soportado"
"IORDY Deshabilitar:","Soportado"
"Caché grabable:","Presente, Activo"
"Función SMART:","Presente, Activo"
"Característica de seguridad:","Presente, Inactivo"
"Función de medios extraíbles:","No presente, Deshabilitado"
"Administración de energía:","Presente, Activo"
"Administración avanzada de energía:","No presente, Inactivo"
"Interfaz de paquetes:","No presente, Deshabilitado"
"Búfer de anticipación:","Presente, Activo"
"Área Protegida del Anfitrión:","No presente, Deshabilitado"
"Encendido en modo de espera:","Soportado, Inactivo"
"Gestión Acústica Automática:","No soportado, Inactivo"
"48-bit LBA:","Soportado, Activo"
"Administración de energía del enlace iniciado por el host (HIPM):","No soportado"
"Administración de energía de enlace iniciada por dispositivo (DIPM):","Soportado, Deshabilitado"
"In-Order Data Delivery:","No soportado"
"Control de funciones de hardware:","No soportado"
"Conservación de la configuración del software:","Soportado, Activado"
"NCQ Autosense:","No soportado"
"Link Power State Device Sleep:","No soportado"
"Función de información híbrida:","No soportado"
"Asistencia de reconstrucción:","No soportado"
"Deshabilitar energía:","No soportado"
"All Write Cache Non-Volatile:","No soportado"
"Número extendido de sectores direccionables por el usuario:","No soportado"
"CFast Specification:","No soportado"
"Información de prioridad de NCQ:","No soportado"
"Host Automatic Partial to Slumber Transitions:","No soportado"
"Device Automatic Partial to Slumber Transitions:","No soportado"
"NCQ Streaming:","No soportado"
"Comando de gestión de colas NCQ:","No soportado"
"DevSleep to Reduced Power State:","No soportado"
"Out Of Band Management Interface:","No soportado"
"Característica de condiciones de energía extendida:","No soportado"
"Función de informe de datos de sentido:","No soportado"
"Función de control de caída libre:","No soportado"
"Función de escritura, lectura y verificación:","Soportado, Deshabilitado"
"Característica de seguridad:","Soportado"
"Estado de seguridad:","Deshabilitado"
"Seguridad bloqueada:","Deshabilitado"
"Seguridad congelada:","Activado"
"Borrado de seguridad mejorado:","Soportado"
"Sanitize Feature:","No soportado"
"Sanitize Device - Crypto Scramble:","No soportado"
"Sanitize Device - Overwrite:","No soportado"
"Sanitize Device - Block Erase:","No soportado"
"Sanitize Device - Antifreeze Lock:","No soportado"
"Device Encrypts All User Data:","No soportado"
"Trusted Computing:","No soportado"
"[01] Tasa de errores en la lectura:","100/6, Peor: 99 (Data = 47504, 0)"
"[03] Spin Up Time:","100/Siempre normales, Peor: 99"
"[04] Recuento de inicio/parada:","94/20, Peor: 94 (Data = 6620, 0)"
"[05] Reasignado el conteo del sector:","100/36, Peor: 100"
"[07] Tasa de error de búsqueda:","78/30, Peor: 60 (Data = 424986657, 6)"
"[09] Número de ciclos/horas de encendido:","56/Siempre normales, Peor: 56 (38997 horas / 4.45 años)"
"[0A] Giro número de reintentos:","100/97, Peor: 100"
"[0C] Recuento de ciclos de potencia:","94/20, Peor: 94 (Data = 6613, 0)"
"[B4] Recuento de bloques reservados no utilizados (total):","100/Siempre normales, Peor: 100 (Data = 1765584652, 0)"
"[B7] Desplazamiento descendente de la interfaz SATA/bloque defectuoso del tiempo de ejecución:","100/Siempre normales, Peor: 100"
"[B8] Recuento de detección de errores de extremo a extremo:","100/97, Peor: 100"
"[BB] Errores no corregibles informados:","100/Siempre normales, Peor: 100"
"[BC] Recuento de tiempo de espera del comando:","100/Siempre normales, Peor: 99 (Data = 65546, 1)"
"[BD] High Fly escribe:","100/Siempre normales, Peor: 100"
"[BE] Temperatura del flujo de aire / Recuento excedido:","77/45, Peor: 64 (23.0 °C)"
"[C2] Temperatura:","23/Siempre normales, Peor: 40 (23.0 °C)"
"[C3] Hardware ECC recuperado:","51/Siempre normales, Peor: 28 (Data = 47504, 0)"
"[C4] Recuento de eventos de reasignación:","100/36, Peor: 100"
"[C5] Recuento actual de sectores pendientes:","100/Siempre normales, Peor: 100"
"[C6] Recuento de sectores incorregibles fuera de línea:","100/Siempre normales, Peor: 100"
"[C7] Tasa de error UltraDMA/SATA CRC:","200/Siempre normales, Peor: 200"

TSSTcorp CDDVDW TS-H653Z

"Modelo de unidad:","TSSTcorp CDDVDW TS-H653Z"
"Revisión de firmware de la unidad:","4403"
"Número de serie:","Q6686GAS202558      "
"Tipo de dispositivo:","DVD+R DL"
"La unidad puede leer:","CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"
"La unidad puede escribir:","CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"

Audio


AMD Hudson-2/3/4 - High Definition Audio Controller

"Adaptador de sonido:","AMD Hudson-2/3/4 - High Definition Audio Controller"
"ID de hardware del controlador de audio:","PCI\VEN_1022&DEV_780D&SUBSYS_2171103C&REV_02"
"Códec de audio de alta definición:","RealTek ALC221"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0221&SUBSYS_103C2171&REV_1000"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek High Definition Audio"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","6.0.1.7548"
"Fecha del controlador:","29-Jun-2015"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10EC&DEV_0221&SUBSYS_103C2171&REV_1000\4&2E5EF776&0&0001"

Red


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Tarjeta de red:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Descripción del proveedor:","Realtek Ethernet Controller"
"Dirección MAC:","9C-B6-54-EF-6E-CB"
"Velocidad máxima de enlace:","1000 Mbps"
"Tamaño del búfer de transmisión:","193792 Bytes"
"Tamaño del búfer de recepción:","775168 Bytes"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_2171103C&REV_0C"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Controladora de la familia Realtek PCIe GbE"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","9.1.410.2015"
"Fecha del controlador:","09-Apr-2015"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_2171103C&REV_0C\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(0205)#PCI(0000)"

Puertos


Puertos seriales


COM1


USB


Controlador de host de PCI a USB mejorado


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


Controlador de host eXtensible AMD USB 3.0 - 1.0 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


Controlador de host de PCI a USB mejorado


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


Controladora de host USB OpenHCD estándar


Root Hub


[Port1] : Lenovo, PID=608C

"Fabricante del dispositivo:","LiteOn"
"Nombre del producto:","Lenovo Calliope USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_17EF&PID_608C"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_608C\5&15AFE10&0&1"
"Location Paths","PCIROOT(0)#PCI(1200)#USBROOT(0)#USB(1)"

[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : Genius, PID=0186

"Fabricante del dispositivo:","KYE SYSTEMS CORP."
"Nombre del producto:","Wired Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_0458&PID_0186"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0458&PID_0186\5&15AFE10&0&4"
"Location Paths","PCIROOT(0)#PCI(1200)#USBROOT(0)#USB(4)"

Controladora de host USB OpenHCD estándar


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected

