
COORDINACION-CA

"Nombre del computadora:","COORDINACION-CA"
"Dirección base de memoria 0","0"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Controladora de host Intel(R) Serial IO I2C: 9DE9"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","30.100.1929.1"
"Fecha del controlador:","14-Jul-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DE9&SUBSYS_852C103C&REV_30\3&11583659&0&A9"
"Location Paths","PCIROOT(0)#PCI(1501)"

Intel Cannon Lake-LP - HECI #1 [D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - HECI #1 [D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - HECI #1 [D0]"
"Clase de dispositivo:","Other Communication Device"
"ID de revisión:","30 [D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:22:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DE0&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE1FF000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Management Engine Interface #1"
"Proveedor de controladores:","Intel"
"Versión del controlador:","2108.100.0.1053"
"Fecha del controlador:","15-Feb-2021"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DE0&SUBSYS_852C103C&REV_30\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel HM170/QM170 PCH - SATA RAID (RST) Controller [D0]

"Nombre del dispositivo:","Intel HM170/QM170 PCH - SATA RAID (RST) Controller [D0]"
"Nombre del dispositivo original:","Intel HM170/QM170 PCH - SATA RAID (RST) Controller [D0]"
"Clase de dispositivo:","RAID controller"
"ID de revisión:","30 [D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:23:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_282A&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","A131E000"
"Dirección base de memoria 1","A1329000"
"Dirección base de E/S 2","5080"
"Dirección base de E/S 3","5088"
"Dirección base de E/S 4","5060"
"Dirección base de memoria 5","A1328000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Velocidad de interfaz admitida:","Gen3 6.0 Gbps"
"Número de puertos:","2"
"Soporte SATA externo:","No capaz"
"Aggressive Link Power Management:","Capaz"
"Staggered Spin-up:","No capaz"
"Mechanical Presence Switch:","No capaz"
"Command Queue Acceleration:","Capaz"
"64-bit Addressing:","Capaz"
"Estado AHCI:","Activado"
"Versión AHCI:","1.31"
"Puertos implementados:","0"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen3 6.0 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) Chipset SATA/PCIe RST Premium Controller"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","17.11.0.1000"
"Fecha del controlador:","29-Sep-2021"
"DeviceInstanceId","PCI\VEN_8086&DEV_282A&SUBSYS_852C103C&REV_30\3&11583659&0&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Cannon Lake-LP - PCI Express Root Port #5 [A0/D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - PCI Express Root Port #5 [A0/D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - PCI Express Root Port #5 [A0/D0]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","F0 [A0/D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DBC&SUBSYS_00000000&REV_F0"
"Versión:","2.0"
"Ancho máximo del enlace:","x4"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","25.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) PCI Express Root Port #5 - 9DBC"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.15.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DBC&SUBSYS_852C103C&REV_F0\3&11583659&0&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x4 Bus #1 [J6C1]


Intel Cannon Lake-LP - PCI Express Root Port #9 [A0/D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - PCI Express Root Port #9 [A0/D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - PCI Express Root Port #9 [A0/D0]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","F0 [A0/D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:29:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DB0&SUBSYS_00000000&REV_F0"
"Versión:","3.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) PCI Express Root Port #9 - 9DB0"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.15.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DB0&SUBSYS_852C103C&REV_F0\3&11583659&0&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

PCI Express x1 Bus #2


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","15"
"Número de dirección PCI (Bus: Dispositivo: Función):","2:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_852C103C&REV_15"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","4000"
"Dirección base de memoria 2","A1204000"
"Dirección base de memoria 4","A1200000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek PCIe GbE Family Controller"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","10.39.212.2020"
"Fecha del controlador:","11-Feb-2020"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_852C103C&REV_15\4&1424839C&0&00E8"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

Intel Cannon Lake-LP - PCI Express Root Port #10 [A0/D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - PCI Express Root Port #10 [A0/D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - PCI Express Root Port #10 [A0/D0]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","F0 [A0/D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:29:1"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DB1&SUBSYS_00000000&REV_F0"
"Versión:","3.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTB#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) PCI Express Root Port #10 - 9DB1"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.15.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DB1&SUBSYS_852C103C&REV_F0\3&11583659&0&E9"
"Location Paths","PCIROOT(0)#PCI(1D01)"

PCI Express x1 Bus #3


RealTek Semiconductor RTL8723DE Wireless LAN 802.11n PCI-E NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8723DE Wireless LAN 802.11n PCI-E NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8723DE Wireless LAN 802.11n PCI-E NIC"
"Clase de dispositivo:","Other Network Adapter"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","3:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_D723&SUBSYS_8319103C&REV_00"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","3000"
"Dirección base de memoria 2","A1100000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Realtek RTL8723DE 802.11b/g/n PCIe Adapter"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","2024.0.10.220"
"Fecha del controlador:","04-Oct-2020"
"DeviceInstanceId","PCI\VEN_10EC&DEV_D723&SUBSYS_8319103C&REV_00\4&14AC4D7&0&00E9"
"Location Paths","PCIROOT(0)#PCI(1D01)#PCI(0000)"

Intel Cannon Lake-U PCH - LPC Controller/eSPI Controller [D0/D1]

"Nombre del dispositivo:","Intel Cannon Lake-U PCH - LPC Controller/eSPI Controller [D0/D1]"
"Nombre del dispositivo original:","Intel Cannon Lake-U PCH - LPC Controller/eSPI Controller [D0/D1]"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","30 [D0/D1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9D84&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","I/O LPC Controller - 9D84 for Intel(R) 300 Series Chipset Family On-Package Platform Controller Hub"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.15.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D84&SUBSYS_852C103C&REV_30\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Cannon Lake-LP - cAVS (Audio, Voice, Speech) [D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - cAVS (Audio, Voice, Speech) [D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - cAVS (Audio, Voice, Speech) [D0]"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","30 [D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:3"
"PCI Latency Timer:","32"
"ID de hardware:","PCI\VEN_8086&DEV_9DC8&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","A1318000"
"Dirección base de memoria 4","A1000000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","18-Oct-2023"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DC8&SUBSYS_852C103C&REV_30\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Cannon Lake-LP - SMBus Host Controller [D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - SMBus Host Controller [D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - SMBus Host Controller [D0]"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","30 [D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:4"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DA3&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","A1326000"
"Dirección base de E/S 4","5040"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","ELAN SMBus"
"Descripción del controlador:","ELAN SMBus Driver"
"Proveedor de controladores:","ELAN SMBus"
"Versión del controlador:","15.1.2.18"
"Fecha del controlador:","26-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DA3&SUBSYS_852C103C&REV_30\3&11583659&0&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Intel Cannon Lake-LP - SPI (flash) Controller [D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - SPI (flash) Controller [D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - SPI (flash) Controller [D0]"
"Clase de dispositivo:","Other Serial Bus Controller"
"ID de revisión:","30 [D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DA4&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Dirección base de memoria 0","FE010000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) SPI (flash) Controller - 9DA4"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.15.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DA4&SUBSYS_852C103C&REV_30\3&11583659&0&FD"
"Location Paths","PCIROOT(0)#PCI(1F05)"

Adaptador gráfico


Intel UHD Graphics 620

"Chipset de gráficos:","Intel UHD Graphics 620"
"Nombre en clave del chipset de gráficos:","Whiskey Lake-U GT2"
"Memoria gráfica:","1024 MBytes"
"Tarjeta grafica:","Intel UHD Graphics 620 (Whiskey Lake-U GT2) [Hewlett-Packard]"
"Bus de tarjeta gráfica:","PCIe v2.0 x0 (5.0 GT/s) @ [DISABLED]"
"GPU Type:","Integrated"
"Gráficos RAMDAC:","Internal"
"Frecuencia del procesador de gráficos:","299.3 MHz"
"Frecuencia de memoria gráfica:","1197.0 MHz"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_8086&DEV_3EA0&SUBSYS_852C103C&REV_02"
"Ubicación PCI (Bus:Dispositivo:Función):","0:02:0"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) UHD Graphics 620"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","27.20.100.8853"
"Fecha del controlador:","13-Oct-2020"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_3EA0&SUBSYS_852C103C&REV_02\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


Chi Mei [Unknown Model: CMN14C3]

"Nombre del monitor:","Chi Mei [Unknown Model: CMN14C3]"
"Número de serie:","Unknown"
"Fecha de manufactura:","Semana: 19, Año: 2016"
"ID de hardware del monitor:","Monitor\CMN14C3"
"Máx. Tamaño vertical:","17 cm"
"Máx. Tamaño horizontal:","31 cm"
"Señal de entrada:","Digital"
"Color Bit Depth:","6 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","No soportado"
"Suspend:","No soportado"
"Active Off:","No soportado"
"Standard Colour Space (sRGB) Default:","No soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"DFP 1.x Compatible:","Sí"
"1366 x 768","309 x 173 mm, Reloj de píxeles 76.42 MHz"
"1366 x 768","309 x 173 mm, Reloj de píxeles 50.95 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\CMN14C3\4&1913D18F&0&UID265988"
"Location Paths","ACPI(_SB_)#ACPI(PCI0)#ACPI(GFX0)#ACPI(DD1F)"

Unidades de disco


Unidades (S)ATA/ATAPI


ADATA SU650

"Controlador de disco:","Serial ATA 6Gb/s @ 6Gb/s"
"Controlador de host:","Intel HM170/QM170 PCH - SATA RAID (RST) Controller [D0]"
"Modelo de unidad:","ADATA SU650"
"Revisión de firmware de la unidad:","XD0R630B"
"Número de serie de la unidad:","2N412LC2SNWH"
"Nombre mundial (WWN):","0000"
"Capacidad de la unidad:","228,936 MBytes (240 GB)"
"Drive Capacity [MB]:","228936"
"Tasa de rotación de medios:","Unidad SSD (no giratoria)"
"Factor de forma nominal:","2.5"""
"Versión principal de ATA admitida:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3"
"Versión secundaria de ATA admitida:","ATA8-ACS version 6"
"Versión de transporte ATA admitida:","SATA 3.0"
"Número de cilindros:","16383"
"Número de cabezas:","16"
"Sectores por pista:","63"
"Número de sectores:","16514064"
"Total de sectores LBA de 48 bits:","468862128"
"Tamaño del sector lógico:","512 Bytes"
"Tamaño del búfer/caché:","N/A"
"Sectores por interrupción:","Total: 16, Active: 1"
"Máx. Modo de transferencia PIO:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Active: 6 (ATA-133)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Soportado, Máx. Profundidad: 32"
"Comando TRIM:","Soportado (lectura determinista después de TRIM, cualquier valor)"
"Unidad fija:","Presente"
"Unidad extraíble:","No presente"
"Almacenamiento magnético:","Presente"
"Modo LBA:","Soportado"
"Modo DMA:","Soportado"
"IORDY:","Soportado"
"IORDY Deshabilitar:","Soportado"
"Caché grabable:","Presente, Activo"
"Función SMART:","Presente, Activo"
"Característica de seguridad:","Presente, Inactivo"
"Función de medios extraíbles:","No presente, Deshabilitado"
"Administración de energía:","Presente, Activo"
"Administración avanzada de energía:","No presente, Inactivo"
"Interfaz de paquetes:","No presente, Deshabilitado"
"Búfer de anticipación:","Presente, Inactivo"
"Área Protegida del Anfitrión:","Presente, Deshabilitado"
"Encendido en modo de espera:","No soportado, Inactivo"
"Gestión Acústica Automática:","No soportado, Inactivo"
"48-bit LBA:","Soportado, Activo"
"Administración de energía del enlace iniciado por el host (HIPM):","No soportado"
"Administración de energía de enlace iniciada por dispositivo (DIPM):","Soportado, Activado"
"In-Order Data Delivery:","No soportado"
"Control de funciones de hardware:","No soportado"
"Conservación de la configuración del software:","Soportado, Activado"
"NCQ Autosense:","No soportado"
"Link Power State Device Sleep:","No soportado"
"Función de información híbrida:","No soportado"
"Asistencia de reconstrucción:","No soportado"
"Deshabilitar energía:","No soportado"
"All Write Cache Non-Volatile:","No soportado"
"Número extendido de sectores direccionables por el usuario:","No soportado"
"CFast Specification:","No soportado"
"Información de prioridad de NCQ:","No soportado"
"Host Automatic Partial to Slumber Transitions:","No soportado"
"Device Automatic Partial to Slumber Transitions:","Soportado"
"NCQ Streaming:","No soportado"
"Comando de gestión de colas NCQ:","No soportado"
"DevSleep to Reduced Power State:","Soportado"
"Out Of Band Management Interface:","No soportado"
"Característica de condiciones de energía extendida:","No soportado"
"Función de informe de datos de sentido:","No soportado"
"Función de control de caída libre:","No soportado"
"Función de escritura, lectura y verificación:","No soportado"
"Característica de seguridad:","Soportado"
"Estado de seguridad:","Deshabilitado"
"Seguridad bloqueada:","Deshabilitado"
"Seguridad congelada:","Activado"
"Borrado de seguridad mejorado:","Soportado"
"Sanitize Feature:","No soportado"
"Sanitize Device - Crypto Scramble:","No soportado"
"Sanitize Device - Overwrite:","No soportado"
"Sanitize Device - Block Erase:","No soportado"
"Sanitize Device - Antifreeze Lock:","No soportado"
"Device Encrypts All User Data:","No soportado"
"Trusted Computing:","No soportado"
"[01] Tasa de errores en la lectura:","100/50, Peor: 100"
"[05] Reasignado el conteo del sector:","100/10, Peor: 100"
"[09] Número de ciclos/horas de encendido:","100/Siempre normales, Peor: 100 (133 horas / 5.5 días)"
"[0C] Recuento de ciclos de potencia:","100/Siempre normales, Peor: 100 (Data = 354, 0)"
"[A0] Recuento de sectores incorregibles cuando se lee/escribe:","100/50, Peor: 100"
"[A1] Número de bloques de repuesto válidos:","100/50, Peor: 100 (Data = 100, 0)"
"[A3] Número de bloques iniciales no válidos:","100/Siempre normales, Peor: 100 (Data = 9, 0)"
"[A4] Recuento total de borrados:","100/Siempre normales, Peor: 100 (Data = 1443, 0)"
"[A5] Número máximo de borrados:","100/Siempre normales, Peor: 100 (Data = 8, 0)"
"[A6] Conteo mínimo de borrado:","100/Siempre normales, Peor: 100"
"[A7] Recuento promedio de borrados:","100/Siempre normales, Peor: 100 (Data = 5, 0)"
"[94] Desconocido","100/Siempre normales, Peor: 100 (Data = 4330, 0)"
"[95] Desconocido","100/Siempre normales, Peor: 100 (Data = 24, 0)"
"[96] Desconocido","100/Siempre normales, Peor: 100 (Data = 2, 0)"
"[97] Desconocido","100/Siempre normales, Peor: 100 (Data = 17, 0)"
"[9F] Desconocido","100/Siempre normales, Peor: 100"
"[A8] Número máximo de borrado de especificaciones:","100/Siempre normales, Peor: 100 (Data = 24, 0)"
"[A9] Vida restante:","100/Siempre normales, Peor: 100 (Data = 100, 0)"
"[B1] Recuento total del nivel de desgaste:","100/Siempre normales, Peor: 100"
"[B5] Recuento de errores del programa (total):","100/Siempre normales, Peor: 100"
"[B6] Recuento de errores de borrado (total):","100/Siempre normales, Peor: 100"
"[C0] Recuento de retracción de apagado:","100/Siempre normales, Peor: 100 (Data = 6, 0)"
"[C2] Temperatura:","100/Siempre normales, Peor: 100 (28.0 °C)"
"[C3] Hardware ECC recuperado:","100/Siempre normales, Peor: 100"
"[C4] Recuento de eventos de reasignación:","100/Siempre normales, Peor: 100"
"[C7] Recuento de errores SATA CRC:","100/Siempre normales, Peor: 100"
"[E8] Espacio reservado disponible:","100/Siempre normales, Peor: 100 (Data = 100, 0)"
"[F1] Escrituras totales del host:","100/Siempre normales, Peor: 100 (Data = 24390, 0)"
"[F2] Lecturas totales del host:","100/Siempre normales, Peor: 100 (Data = 20361, 0)"
"[F5] Recuento de sectores de escritura flash:","100/Siempre normales, Peor: 100 (Data = 36291, 0)"
"Vida restante del disco","100%"
"Restablecimientos de encendido de por vida:","354"
"Horas de encendido:","133"
"Número de sectores lógicos escritos:","1598466224"
"Número de sectores lógicos leídos:","1334409815"
"Número de comandos de escritura:","28478455"
"Número de comandos de lectura:","18710772"
"Número de errores incorregibles informados:","0"
"Número de restablecimientos entre la aceptación y finalización del comando:","1"
"Número de restablecimientos de hardware:","561"
"Número de errores de interfaz CRC:","0"
"Indicador de resistencia usado:","0%"

Audio


Intel Cannon Lake-LP - cAVS (Audio, Voice, Speech) [D0]

"Adaptador de sonido:","Intel Cannon Lake-LP - cAVS (Audio, Voice, Speech) [D0]"
"ID de hardware del controlador de audio:","PCI\VEN_8086&DEV_9DC8&SUBSYS_852C103C&REV_30"
"Códec de audio de alta definición:","Intel"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_8086&DEV_280B&SUBSYS_80860101&REV_1000"
"Fabricante del controlador:","Intel(R) Corporation"
"Descripción del controlador:","Sonido Intel(R) para pantallas"
"Proveedor de controladores:","Intel(R) Corporation"
"Versión del controlador:","10.27.0.9"
"Fecha del controlador:","24-Feb-2020"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_8086&DEV_280B&SUBSYS_80860101&REV_1000\4&DF756E7&0&0201"
"Códec de audio de alta definición:","RealTek"
