
FISIOTERAPIA-CA

"Nombre del computadora:","FISIOTERAPIA-CA"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 8 Series/C220 Series PCI Express Root Port #1 - 8C10"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C10&SUBSYS_7E441019&REV_D5\3&11583659&0&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x1 Bus #1


Intel Lynx Point PCH - PCI Express Root Port 6 [C2]

"Nombre del dispositivo:","Intel Lynx Point PCH - PCI Express Root Port 6 [C2]"
"Nombre del dispositivo original:","Intel Lynx Point PCH - PCI Express Root Port 6 [C2]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","D5 [C2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_8C1A&SUBSYS_00000000&REV_D5"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTB#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 8 Series/C220 Series PCI Express Root Port #6 - 8C1A"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C1A&SUBSYS_7E441019&REV_D5\3&11583659&0&E5"
"Location Paths","PCIROOT(0)#PCI(1C05)"

PCI Express x1 Bus #2


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","C"
"Número de dirección PCI (Bus: Dispositivo: Función):","2:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_81161019&REV_0C"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","E000"
"Dirección base de memoria 2","F7C00000"
"Dirección base de memoria 4","F0000000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek PCIe GBE Family Controller"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","10.16.323.2017"
"Fecha del controlador:","22-Mar-2017"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_81161019&REV_0C\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1C05)#PCI(0000)"

Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #1 [C2]

"Nombre del dispositivo:","Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #1 [C2]"
"Nombre del dispositivo original:","Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #1 [C2]"
"Clase de dispositivo:","USB EHCI Controller"
"ID de revisión:","5 [C2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:29:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_8C26&SUBSYS_7E441019&REV_05"
"Línea de interrupción:","IRQ23"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7D1B000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","2.0"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","USB EHCI nº 1 Intel(R) Serie 8/Serie C220 - 8C26"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4170"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C26&SUBSYS_7E441019&REV_05\3&11583659&0&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

USB Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_8000"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_8000\5&209F0B90&0&1"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port2] : No Device Connected


Intel H81 Express Chipset - LPC Interface Controller [C2]

"Nombre del dispositivo:","Intel H81 Express Chipset - LPC Interface Controller [C2]"
"Nombre del dispositivo original:","Intel H81 Express Chipset - LPC Interface Controller [C2]"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","5 [C2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_8C5C&SUBSYS_7E441019&REV_05"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) H81 LPC Controller - 8C5C"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C5C&SUBSYS_7E441019&REV_05\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Lynx Point PCH - SATA AHCI Controller (Ports 0-5) [C2]

"Nombre del dispositivo:","Intel Lynx Point PCH - SATA AHCI Controller (Ports 0-5) [C2]"
"Nombre del dispositivo original:","Intel Lynx Point PCH - SATA AHCI Controller (Ports 0-5) [C2]"
"Clase de dispositivo:","SATA AHCI Controller"
"ID de revisión:","5 [C2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_8C02&SUBSYS_7E441019&REV_05"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTB#"
"Dirección base de E/S 0","F0B0"
"Dirección base de E/S 1","F0A0"
"Dirección base de E/S 2","F090"
"Dirección base de E/S 3","F080"
"Dirección base de E/S 4","F060"
"Dirección base de memoria 5","F7D1A000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Velocidad de interfaz admitida:","Gen3 6.0 Gbps"
"Número de puertos:","4"
"Soporte SATA externo:","No capaz"
"Aggressive Link Power Management:","Capaz"
"Staggered Spin-up:","No capaz"
"Mechanical Presence Switch:","No capaz"
"Command Queue Acceleration:","Capaz"
"64-bit Addressing:","Capaz"
"Estado AHCI:","Activado"
"Versión AHCI:","1.30"
"Puertos implementados:","0, 1, 4, 5"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen3 6.0 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","Capaz"
"Tipo de dispositivo:","SATA"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen1 1.5 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","Capaz"
"Tipo de dispositivo:","SATA"
"Estado del puerto:","No hay dispositivo presente"
"Puerto SATA externo:","No capaz"
"Hot Plug:","Capaz"
"Estado del puerto:","No hay dispositivo presente"
"Puerto SATA externo:","No capaz"
"Hot Plug:","Capaz"
"Fabricante del controlador:","Controladora SATA AHCI estándar"
"Descripción del controlador:","Controladora SATA AHCI estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C02&SUBSYS_7E441019&REV_05\3&11583659&0&FA"
"Location Paths","PCIROOT(0)#PCI(1F02)"

Intel Lynx Point PCH - SMBus Controller [C2]

"Nombre del dispositivo:","Intel Lynx Point PCH - SMBus Controller [C2]"
"Nombre del dispositivo original:","Intel Lynx Point PCH - SMBus Controller [C2]"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","5 [C2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_8C22&SUBSYS_7E441019&REV_05"
"Línea de interrupción:","IRQ10"
"Pin de interrupción:","INTC#"
"Dirección base de memoria 0","F7D19000"
"Dirección base de E/S 4","F040"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 8 Series/C220 Series SMBus Controller - 8C22"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C22&SUBSYS_7E441019&REV_05\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Adaptador gráfico


Intel HD Graphics 4600

"Chipset de gráficos:","Intel HD Graphics 4600"
"Nombre en clave del chipset de gráficos:","Haswell GT2"
"Memoria gráfica:","1024 MBytes"
"Tarjeta grafica:","Intel Haswell-DT GT2 - Integrated Graphics [ECS EliteGroup Computer]"
"Bus de tarjeta gráfica:","PCI"
"GPU Type:","Integrated"
"Gráficos RAMDAC:","Internal"
"Frecuencia del procesador de gráficos:","598.6 MHz"
"Frecuencia de memoria gráfica:","798.0 MHz"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_8086&DEV_0412&SUBSYS_7E441019&REV_06"
"Ubicación PCI (Bus:Dispositivo:Función):","0:02:0"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics 4600"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","20.19.15.4624"
"Fecha del controlador:","07-Mar-2017"
"DCH/UWD Driver:","No capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_0412&SUBSYS_7E441019&REV_06\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


Hewlett-Packard [Unknown Model: HWP3346]

"Nombre del monitor:","Hewlett-Packard [Unknown Model: HWP3346]"
"Nombre del monitor (del fabricante):","HP V194      "
"Número de serie:","3CQ6480QQN   "
"Fecha de manufactura:","Semana: 48, Año: 2016"
"ID de hardware del monitor:","Monitor\HWP3346"
"Máx. Tamaño vertical:","23 cm"
"Máx. Tamaño horizontal:","41 cm"
"Frecuencia horizontal:","30 - 80 kHz"
"Frecuencia vertical:","50 - 60 Hz"
"Reloj máximo de píxeles:","110 MHz"
"Señal de entrada:","Analógico: 0.700 V / 0.000 V (0.700 V p-p)"
"Tipo de visualización:","color RGB"
"Gamma Factor:","2.20"
"Standby:","No soportado"
"Suspend:","No soportado"
"Active Off:","Soportado"
"Standard Colour Space (sRGB) Default:","No soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"Serration VSync:","No soportado"
"Sync On Green:","No soportado"
"Composite Sync:","No soportado"
"Separate Syncs:","Soportado"
"Blank-to-black Setup:","No soportado"
"1280 x 720","60 Hz"
"1366 x 768","410 x 230 mm, Reloj de píxeles 85.50 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\HWP3346\4&35EF5D16&0&UID65793"
"Location Paths","ACPI(_SB_)#ACPI(PCI0)#ACPI(GFX0)#ACPI(DD01)"

Unidades de disco


Unidades (S)ATA/ATAPI


TOSHIBA DT01ACA100

"Controlador de disco:","Serial ATA 6Gb/s @ 6Gb/s"
"Controlador de host:","Intel Lynx Point PCH - SATA AHCI Controller (Ports 0-5) [C2]"
"Modelo de unidad:","TOSHIBA DT01ACA100"
"Revisión de firmware de la unidad:","MS2OA750"
"Número de serie de la unidad:","38P0SYKFS"
"Nombre mundial (WWN):","500039FD6C059EB"
"Capacidad de la unidad:","953,869 MBytes (1000 GB)"
"Drive Capacity [MB]:","953869"
"Tasa de rotación de medios:","7200 RPM"
"Factor de forma nominal:","3.5"""
"Versión principal de ATA admitida:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS"
"Versión secundaria de ATA admitida:","ATA8-ACS version 4"
"Versión de transporte ATA admitida:","SATA 3.0"
"Número de cilindros:","16383"
"Número de cabezas:","16"
"Sectores por pista:","63"
"Número de bytes ECC:","56"
"Número de sectores:","16514064"
"Total de sectores LBA de 48 bits:","1953525168"
"Tamaño del sector lógico:","512 Bytes"
"Tamaño del búfer/caché:","23652 KBytes"
"Controller Type:","Dual Ported, Multiple Sector Buffer, Read Cache"
"Sectores por interrupción:","Total: 16, Active: 16"
"Máx. Modo de transferencia PIO:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Soportado, Máx. Profundidad: 32"
"Comando TRIM:","No soportado"
"Unidad fija:","Presente"
"Unidad extraíble:","No presente"
"Almacenamiento magnético:","Presente"
"Modo LBA:","Soportado"
"Modo DMA:","Soportado"
"IORDY:","Soportado"
"IORDY Deshabilitar:","Soportado"
"Caché grabable:","Presente, Activo"
"Función SMART:","Presente, Activo"
"Característica de seguridad:","Presente, Inactivo"
"Función de medios extraíbles:","No presente, Deshabilitado"
"Administración de energía:","Presente, Activo"
"Administración avanzada de energía:","Presente, Inactivo"
"Interfaz de paquetes:","No presente, Deshabilitado"
"Búfer de anticipación:","Presente, Activo"
"Área Protegida del Anfitrión:","Presente, Activado"
"Encendido en modo de espera:","Soportado, Inactivo"
"Gestión Acústica Automática:","No soportado, Inactivo"
"48-bit LBA:","Soportado, Activo"
"Administración de energía del enlace iniciado por el host (HIPM):","Soportado"
"Administración de energía de enlace iniciada por dispositivo (DIPM):","Soportado, Deshabilitado"
"In-Order Data Delivery:","Soportado, Deshabilitado"
"Control de funciones de hardware:","No soportado"
"Conservación de la configuración del software:","Soportado, Activado"
"NCQ Autosense:","No soportado"
"Link Power State Device Sleep:","No soportado"
"Función de información híbrida:","No soportado"
"Asistencia de reconstrucción:","No soportado"
"Deshabilitar energía:","No soportado"
"All Write Cache Non-Volatile:","No soportado"
"Número extendido de sectores direccionables por el usuario:","No soportado"
"CFast Specification:","No soportado"
"Información de prioridad de NCQ:","Soportado"
"Host Automatic Partial to Slumber Transitions:","No soportado"
"Device Automatic Partial to Slumber Transitions:","No soportado"
"NCQ Streaming:","No soportado"
"Comando de gestión de colas NCQ:","No soportado"
"DevSleep to Reduced Power State:","No soportado"
"Out Of Band Management Interface:","No soportado"
"Característica de condiciones de energía extendida:","Soportado, Activado"
"Función de informe de datos de sentido:","No soportado"
"Función de control de caída libre:","No soportado"
"Función de escritura, lectura y verificación:","No soportado"
"Característica de seguridad:","Soportado"
"Estado de seguridad:","Deshabilitado"
"Seguridad bloqueada:","Deshabilitado"
"Seguridad congelada:","Activado"
"Borrado de seguridad mejorado:","No soportado"
"Sanitize Feature:","No soportado"
"Sanitize Device - Crypto Scramble:","No soportado"
"Sanitize Device - Overwrite:","No soportado"
"Sanitize Device - Block Erase:","No soportado"
"Sanitize Device - Antifreeze Lock:","No soportado"
"Device Encrypts All User Data:","No soportado"
"Trusted Computing:","No soportado"
"[01] Tasa de errores en la lectura:","100/16, Peor: 100"
"[02] Rendimiento de rendimiento:","142/54, Peor: 142 (Data = 68, 0)"
"[03] Spin Up Time:","110/24, Peor: 110 (Data = 13697232, 3)"
"[04] Recuento de inicio/parada:","100/Siempre normales, Peor: 100 (Data = 2037, 0)"
"[05] Reasignado el conteo del sector:","100/5, Peor: 100"
"[07] Tasa de error de búsqueda:","100/67, Peor: 100"
"[08] Rendimiento del tiempo de búsqueda:","115/20, Peor: 115 (Data = 34, 0)"
"[09] Número de ciclos/horas de encendido:","99/Siempre normales, Peor: 99 (13178 horas / 1.50 años)"
"[0A] Giro número de reintentos:","100/60, Peor: 100"
"[0C] Recuento de ciclos de potencia:","100/Siempre normales, Peor: 100 (Data = 2033, 0)"
"[C0] Recuento de retracción de apagado:","99/Siempre normales, Peor: 99 (Data = 2044, 0)"
"[C1] Recuento de ciclos de carga/descarga:","99/Siempre normales, Peor: 99 (Data = 2044, 0)"
"[C2] Temperatura:","176/Siempre normales, Peor: 176 (34.0 °C)"
"[C4] Recuento de eventos de reasignación:","100/Siempre normales, Peor: 100"
"[C5] Recuento actual de sectores pendientes:","100/Siempre normales, Peor: 100"
"[C6] Recuento de sectores incorregibles fuera de línea:","100/Siempre normales, Peor: 100"
"[C7] Tasa de error UltraDMA/SATA CRC:","200/Siempre normales, Peor: 200"
"Restablecimientos de encendido de por vida:","2033"
"Horas de encendido:","13178"
"Número de sectores lógicos escritos:","19066942068"
"Número de sectores lógicos leídos:","134440383594"
"Número de comandos de escritura:","379865718"
"Número de comandos de lectura:","356510650"
"Horas de encendido del motor del husillo:","13173"
"Número de horas de vuelo principales:","13173"
"Eventos de carga de cabeza:","2044"
"Número de sectores lógicos reasignados:","0"
"Número de intentos de recuperación de lectura:","189"
"Número de fallas de arranque mecánico:","9"
"Número de errores incorregibles informados:","81"
"Número de restablecimientos entre la aceptación y finalización del comando:","0"
"Temperatura actual:","34 °C"
"Temperatura media a corto plazo:","32 °C"
"Temperatura media a largo plazo:","31 °C"
"Rango de temperatura de funcionamiento:","0 - 60 °C"
"Temperatura de por vida:","13 - 38 °C"
"Temperatura promedio a corto plazo de por vida:","25 - 34 °C"
"Temperatura promedio a largo plazo de por vida:","25 - 33 °C"
"Tiempo en baja temperatura:","0 minutos"
"Tiempo en exceso de temperatura:","0 minutos"
"Número de restablecimientos de hardware:","10011"
"Número de eventos ASR:","6551"
"Número de errores de interfaz CRC:","0"

ATAPI iHAS122   F

"Modelo de unidad:","ATAPI iHAS122   F"
"Revisión de firmware de la unidad:","EL02"
"Número de serie:","3743522551 2N8504500148 "
"Tipo de dispositivo:","DVD+R DL"
"La unidad puede leer:","CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"
"La unidad puede escribir:","CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"

Audio


Intel Lynx Point PCH - High Definition Audio Controller [C2]

"Adaptador de sonido:","Intel Lynx Point PCH - High Definition Audio Controller [C2]"
"ID de hardware del controlador de audio:","PCI\VEN_8086&DEV_8C20&SUBSYS_7E441019&REV_05"
"Códec de audio de alta definición:","VIA"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_1106&DEV_4760&SUBSYS_10197E44&REV_1000"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Dispositivo de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","18-Oct-2023"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_1106&DEV_4760&SUBSYS_10197E44&REV_1000\4&5004B36&0&0001"

Red


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Tarjeta de red:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Descripción del proveedor:","Realtek PCIe GBE Family Controller"
"Dirección MAC:","B8-AE-ED-B0-08-61"
"Velocidad máxima de enlace:","1000 Mbps"
"Tamaño del búfer de transmisión:","193792 Bytes"
"Tamaño del búfer de recepción:","775168 Bytes"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_81161019&REV_0C"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek PCIe GBE Family Controller"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","10.16.323.2017"
"Fecha del controlador:","22-Mar-2017"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_81161019&REV_0C\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1C05)#PCI(0000)"

Puertos


Puertos seriales


COM1


USB


USB EHCI nº 2 Intel(R) Serie 8/Serie C220 - 8C2D


Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_8008"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_8008\5&1B805097&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port2] : No Device Connected


Controlador de host eXtensible Intel(R) USB 3.0 - 1.0 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : ELAN Microelectronics ActiveJet K-2024 Multimedia Keyboard

"Fabricante del dispositivo:","ELAN Microelectronics"
"Nombre del producto:","ELAN Microelectronics ActiveJet K-2024 Multimedia Keyboard"
"Número de serie:","-"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_04F3&PID_0103"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04F3&PID_0103\5&705C924&0&2"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(2)"

[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port7] : Alcor Micro Multi Flash Reader

"Fabricante del dispositivo:","Generic"
"Nombre del producto:","Mass Storage Device"
"Número de serie:","058F63666471"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Alcor Micro USB 2.0 Card Reader"
"ID de hardware:","USB\VID_058F&PID_6366"
"Fabricante del controlador:","Alcor Micro, Corp."
"Descripción del controlador:","Alcor Micro USB 2.0 Card Reader"
"Proveedor de controladores:","Alcor Micro, Corp."
"Versión del controlador:","2.0.150.10135"
"Fecha del controlador:","09-Apr-2019"
"DeviceInstanceId","USB\VID_058F&PID_6366\058F63666471"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(7)"

[Port8] : No Device Connected


[Port9] : CalDigit, PID=0AE1

"Fabricante del dispositivo:","N/A"
"Nombre del producto:","USB OPTICAL MOUSE "
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_2188&PID_0AE1"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_2188&PID_0AE1\5&705C924&0&9"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(9)"

[Port10] : No Device Connected


[Port11] : Device General Failure


[Port12] : Device General Failure


[Port13] : Device General Failure


[Port14] : Device General Failure


[Port15] : Device General Failure


[Port16] : No Device Connected


[Port17] : No Device Connected


USB EHCI nº 1 Intel(R) Serie 8/Serie C220 - 8C26


Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_8000"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_8000\5&209F0B90&0&1"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port2] : No Device Connected

