
DESKTOP-KG2H053

"Nombre del computadora:","DESKTOP-KG2H053"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Estado del puerto:","Phy en modo fuera de línea"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Estado del puerto:","Phy en modo fuera de línea"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Estado del puerto:","Phy en modo fuera de línea"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Estado del puerto:","Phy en modo fuera de línea"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Estado del puerto:","Phy en modo fuera de línea"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) 300 Series Chipset Family SATA AHCI Controller"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","17.11.0.1000"
"Fecha del controlador:","29-Sep-2021"
"DeviceInstanceId","PCI\VEN_8086&DEV_A352&SUBSYS_83F2103C&REV_10\3&11583659&0&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Cannon Lake-H/S - PCI Express Root Port #5 [B0]

"Nombre del dispositivo:","Intel Cannon Lake-H/S - PCI Express Root Port #5 [B0]"
"Nombre del dispositivo original:","Intel Cannon Lake-H/S - PCI Express Root Port #5 [B0]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","F0 [B0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A33C&SUBSYS_00000000&REV_F0"
"Versión:","3.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) PCI Express Root Port #5 - A33C"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A33C&SUBSYS_83F2103C&REV_F0\3&11583659&0&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x1 Bus #1


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","15"
"Número de dirección PCI (Bus: Dispositivo: Función):","1:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_83F2103C&REV_15"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","3000"
"Dirección base de memoria 2","C1004000"
"Dirección base de memoria 4","C1000000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek PCIe GbE Family Controller"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","10.50.511.2021"
"Fecha del controlador:","10-May-2021"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_83F2103C&REV_15\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Intel B360 PCH (Cannon Lake-H) - LPC Controller/eSPI Controller [B0]

"Nombre del dispositivo:","Intel B360 PCH (Cannon Lake-H) - LPC Controller/eSPI Controller [B0]"
"Nombre del dispositivo original:","Intel B360 PCH (Cannon Lake-H) - LPC Controller/eSPI Controller [B0]"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","10 [B0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A308&SUBSYS_83F2103C&REV_10"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 300 Series Chipset Family LPC Controller (B360) - A308"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A308&SUBSYS_83F2103C&REV_10\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]

"Nombre del dispositivo:","Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]"
"Nombre del dispositivo original:","Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","10 [B0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A348&SUBSYS_83F2103C&REV_10"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","7FFFEFC000"
"Dirección base de memoria 4","7FFFF00000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","18-Oct-2023"
"DeviceInstanceId","PCI\VEN_8086&DEV_A348&SUBSYS_83F2103C&REV_10\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Cannon Lake-H/S - SMBus Controller [B0]

"Nombre del dispositivo:","Intel Cannon Lake-H/S - SMBus Controller [B0]"
"Nombre del dispositivo original:","Intel Cannon Lake-H/S - SMBus Controller [B0]"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","10 [B0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:4"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A323&SUBSYS_83F2103C&REV_10"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","0"
"Dirección base de E/S 4","EFA0"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) SMBus - A323"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A323&SUBSYS_83F2103C&REV_10\3&11583659&0&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Intel Cannon Lake-H/S - SPI (flash) Controller [B0]

"Nombre del dispositivo:","Intel Cannon Lake-H/S - SPI (flash) Controller [B0]"
"Nombre del dispositivo original:","Intel Cannon Lake-H/S - SPI (flash) Controller [B0]"
"Clase de dispositivo:","Other Serial Bus Controller"
"ID de revisión:","10 [B0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A324&SUBSYS_83F2103C&REV_10"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Dirección base de memoria 0","FE010000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) SPI (flash) Controller - A324"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A324&SUBSYS_83F2103C&REV_10\3&11583659&0&FD"
"Location Paths","PCIROOT(0)#PCI(1F05)"

Adaptador gráfico


Intel UHD Graphics 630

"Chipset de gráficos:","Intel UHD Graphics 630"
"Nombre en clave del chipset de gráficos:","Coffee Lake-S GT2"
"Memoria gráfica:","1024 MBytes"
"Tarjeta grafica:","Intel UHD Graphics 630 (Coffee Lake-S GT2) [Hewlett-Packard]"
"Bus de tarjeta gráfica:","PCIe v2.0 x0 (5.0 GT/s) @ [DISABLED]"
"GPU Type:","Integrated"
"Gráficos RAMDAC:","Internal"
"Frecuencia del procesador de gráficos:","349.1 MHz"
"Frecuencia de memoria gráfica:","1329.0 MHz"
"Ancho del bus de memoria gráfica:","64-bit"
"Número de ALU (núcleos):","192"
"Número de EU (unidades de ejecución):","24"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_8086&DEV_3E92&SUBSYS_83F2103C&REV_00"
"Ubicación PCI (Bus:Dispositivo:Función):","0:02:0"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) UHD Graphics 630"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","31.0.101.2111"
"Fecha del controlador:","18-Jul-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_3E92&SUBSYS_83F2103C&REV_00\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


AOC 936W

"Nombre del monitor:","AOC 936W"
"Nombre del monitor (del fabricante):","936W         "
"Número de serie:","67303"
"Fecha de manufactura:","Semana: 18, Año: 2011"
"ID de hardware del monitor:","Monitor\AOC1936"
"Máx. Tamaño vertical:","23 cm"
"Máx. Tamaño horizontal:","41 cm"
"Frecuencia horizontal:","30 - 81 kHz"
"Frecuencia vertical:","55 - 75 Hz"
"Reloj máximo de píxeles:","90 MHz"
"Señal de entrada:","Digital"
"Color Bit Depth:","8 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","No soportado"
"Suspend:","No soportado"
"Active Off:","Soportado"
"Standard Colour Space (sRGB) Default:","No soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"DFP 1.x Compatible:","Sí"
"640 x 400","70 Hz"
"1024 x 768","72 Hz"
"1366 x 768","410 x 230 mm, Reloj de píxeles 85.50 MHz"
"1360 x 768","410 x 230 mm, Reloj de píxeles 85.50 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\AOC1936\4&3A1B528E&0&UID249395"
"Location Paths","ACPI(_SB_)#ACPI(PCI0)#ACPI(GFX0)#ACPI(DD07)"

Unidades de disco


Unidades (S)ATA/ATAPI


WDC WD10EZEX-60WN4A0

"Controlador de disco:","Serial ATA 6Gb/s @ 6Gb/s"
"Controlador de host:","Intel Cannon Lake-H/S - SATA AHCI Controller (DT/SRV) [B0]"
"Modelo de unidad:","WDC WD10EZEX-60WN4A0"
"Revisión de firmware de la unidad:","01.01A01"
"Número de serie de la unidad:","WD-WCC6Y1NV99XA"
"Nombre mundial (WWN):","50014EE26588F6A0"
"Capacidad de la unidad:","953,869 MBytes (1000 GB)"
"Drive Capacity [MB]:","953869"
"Tasa de rotación de medios:","7200 RPM"
"Factor de forma nominal:","3.5"""
"Versión principal de ATA admitida:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3"
"Versión secundaria de ATA admitida:","ACS-3 Revision 5"
"Versión de transporte ATA admitida:","SATA 3.1"
"Número de cilindros:","16383"
"Número de cabezas:","16"
"Sectores por pista:","63"
"Número de sectores:","16514064"
"Total de sectores LBA de 48 bits:","1953525168"
"Tamaño del sector lógico:","512 Bytes"
"Tamaño del búfer/caché:","N/A"
"Sectores por interrupción:","Total: 16, Active: 16"
"Máx. Modo de transferencia PIO:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 5 (ATA-100), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Soportado, Máx. Profundidad: 32"
"Comando TRIM:","No soportado"
"Unidad fija:","Presente"
"Unidad extraíble:","No presente"
"Almacenamiento magnético:","Presente"
"Modo LBA:","Soportado"
"Modo DMA:","Soportado"
"IORDY:","Soportado"
"IORDY Deshabilitar:","Soportado"
"Caché grabable:","Presente, Activo"
"Función SMART:","Presente, Activo"
"Característica de seguridad:","Presente, Inactivo"
"Función de medios extraíbles:","No presente, Deshabilitado"
"Administración de energía:","Presente, Activo"
"Administración avanzada de energía:","Presente, Activo"
"Interfaz de paquetes:","No presente, Deshabilitado"
"Búfer de anticipación:","Presente, Activo"
"Área Protegida del Anfitrión:","No presente, Deshabilitado"
"Encendido en modo de espera:","Soportado, Inactivo"
"Gestión Acústica Automática:","No soportado, Inactivo"
"48-bit LBA:","Soportado, Activo"
"Administración de energía del enlace iniciado por el host (HIPM):","No soportado"
"Administración de energía de enlace iniciada por dispositivo (DIPM):","Soportado, Activado"
"In-Order Data Delivery:","No soportado"
"Control de funciones de hardware:","No soportado"
"Conservación de la configuración del software:","Soportado, Activado"
"NCQ Autosense:","Soportado"
"Link Power State Device Sleep:","No soportado"
"Función de información híbrida:","No soportado"
"Asistencia de reconstrucción:","No soportado"
"Deshabilitar energía:","No soportado"
"All Write Cache Non-Volatile:","No soportado"
"Número extendido de sectores direccionables por el usuario:","Soportado"
"CFast Specification:","No soportado"
"Información de prioridad de NCQ:","No soportado"
"Host Automatic Partial to Slumber Transitions:","No soportado"
"Device Automatic Partial to Slumber Transitions:","No soportado"
"NCQ Streaming:","No soportado"
"Comando de gestión de colas NCQ:","No soportado"
"DevSleep to Reduced Power State:","No soportado"
"Out Of Band Management Interface:","No soportado"
"Característica de condiciones de energía extendida:","Soportado, Deshabilitado"
"Función de informe de datos de sentido:","Soportado, Deshabilitado"
"Función de control de caída libre:","No soportado"
"Función de escritura, lectura y verificación:","No soportado"
"Característica de seguridad:","Soportado"
"Estado de seguridad:","Deshabilitado"
"Seguridad bloqueada:","Deshabilitado"
"Seguridad congelada:","Activado"
"Borrado de seguridad mejorado:","Soportado"
"Sanitize Feature:","Soportado"
"Sanitize Device - Crypto Scramble:","No soportado"
"Sanitize Device - Overwrite:","Soportado"
"Sanitize Device - Block Erase:","No soportado"
"Sanitize Device - Antifreeze Lock:","No soportado"
"Device Encrypts All User Data:","No soportado"
"Trusted Computing:","No soportado"
"[01] Tasa de errores en la lectura:","200/51, Peor: 200"
"[03] Spin Up Time:","171/21, Peor: 168 (Data = 2408, 0)"
"[04] Recuento de inicio/parada:","99/Siempre normales, Peor: 99 (Data = 1905, 0)"
"[05] Reasignado el conteo del sector:","200/140, Peor: 200"
"[07] Tasa de error de búsqueda:","200/51, Peor: 200"
"[09] Número de ciclos/horas de encendido:","74/Siempre normales, Peor: 74 (19556 horas / 2.23 años)"
"[0A] Giro número de reintentos:","100/51, Peor: 100"
"[0B] Recuento de reintentos de calibración:","100/Siempre normales, Peor: 100"
"[0C] Recuento de ciclos de potencia:","99/Siempre normales, Peor: 99 (Data = 1905, 0)"
"[B7] Desplazamiento descendente de la interfaz SATA/bloque defectuoso del tiempo de ejecución:","100/Siempre normales, Peor: 100"
"[B8] Recuento de detección de errores de extremo a extremo:","100/97, Peor: 100"
"[BB] Errores no corregibles informados:","100/Siempre normales, Peor: 100"
"[BC] Recuento de tiempo de espera del comando:","100/Siempre normales, Peor: 100"
"[BE] Temperatura del flujo de aire / Recuento excedido:","77/40, Peor: 59 (23.0 °C)"
"[C0] Recuento de retracción de apagado:","200/Siempre normales, Peor: 200 (Data = 251, 0)"
"[C1] Recuento de ciclos de carga/descarga:","200/Siempre normales, Peor: 200 (Data = 2237, 0)"
"[C2] Temperatura:","120/Siempre normales, Peor: 102 (23.0 °C)"
"[C4] Recuento de eventos de reasignación:","200/Siempre normales, Peor: 200"
"[C5] Recuento actual de sectores pendientes:","200/Siempre normales, Peor: 200"
"[C6] Recuento de sectores incorregibles fuera de línea:","200/Siempre normales, Peor: 200"
"[C7] Tasa de error UltraDMA/SATA CRC:","200/Siempre normales, Peor: 200"
"[C8] Tasa de error de escritura/multizona:","200/Siempre normales, Peor: 200"
"Restablecimientos de encendido de por vida:","1905"
"Horas de encendido:","19556"
"Número de sectores lógicos escritos:","22381414737"
"Número de sectores lógicos leídos:","15078017525"
"Número de comandos de escritura:","434830327"
"Número de comandos de lectura:","274036678"
"Horas de encendido del motor del husillo:","18306"
"Número de horas de vuelo principales:","18264"
"Eventos de carga de cabeza:","2489"
"Número de sectores lógicos reasignados:","0"
"Número de intentos de recuperación de lectura:","115"
"Número de fallas de arranque mecánico:","0"
"Número de Sectores Lógicos Candidatos de Reasignación:","0"
"Número de eventos de descarga de alta prioridad:","251"
"Número de errores incorregibles informados:","0"
"Número de restablecimientos entre la aceptación y finalización del comando:","0"
"Temperatura actual:","23 °C"
"Temperatura media a corto plazo:","30 °C"
"Temperatura media a largo plazo:","29 °C"
"Rango de temperatura de funcionamiento:","0 - 60 °C"
"Temperatura de por vida:","19 - 41 °C"
"Temperatura promedio a corto plazo de por vida:","26 - 35 °C"
"Temperatura promedio a largo plazo de por vida:","28 - 31 °C"
"Tiempo en baja temperatura:","0 minutos"
"Tiempo en exceso de temperatura:","0 minutos"
"Número de restablecimientos de hardware:","5421"
"Número de eventos ASR:","990"
"Número de errores de interfaz CRC:","0"

Audio


Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]

"Adaptador de sonido:","Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]"
"ID de hardware del controlador de audio:","PCI\VEN_8086&DEV_A348&SUBSYS_83F2103C&REV_10"
"Códec de audio de alta definición:","Conexant"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_14F1&DEV_5098&SUBSYS_103C83F2&REV_1001"
"Fabricante del controlador:","Synaptics"
"Descripción del controlador:","Synaptics HD Audio"
"Proveedor de controladores:","Synaptics"
"Versión del controlador:","8.65.319.200"
"Fecha del controlador:","15-Jun-2022"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_14F1&DEV_5098&SUBSYS_103C83F2&REV_1001\4&332AF694&0&0001"
"Códec de audio de alta definición:","Intel"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_8086&DEV_280B&SUBSYS_80860101&REV_1000"
"Fabricante del controlador:","Intel(R) Corporation"
"Descripción del controlador:","Sonido Intel(R) para pantallas"
"Proveedor de controladores:","Intel(R) Corporation"
"Versión del controlador:","10.27.0.12"
"Fecha del controlador:","20-Nov-2021"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_8086&DEV_280B&SUBSYS_80860101&REV_1000\4&332AF694&0&0201"

Red


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Tarjeta de red:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Descripción del proveedor:","Realtek PCIe GbE Family Controller"
"Dirección MAC:","F4-39-09-01-A0-5D"
"Velocidad máxima de enlace:","1000 Mbps"
"Tamaño del búfer de transmisión:","193792 Bytes"
"Tamaño del búfer de recepción:","775168 Bytes"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_83F2103C&REV_15"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek PCIe GbE Family Controller"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","10.50.511.2021"
"Fecha del controlador:","10-May-2021"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_83F2103C&REV_15\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Puertos


Puertos seriales


USB


Controlador de host eXtensible Intel(R) USB 3.1 - 1.10 (Microsoft)


Root Hub


[Port1] : Microdia, PID=7663

"Fabricante del dispositivo:","SONiX"
"Nombre del producto:","USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_0C45&PID_7663"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0C45&PID_7663\5&3B91642C&0&1"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(1)"

[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Genius, PID=0186

"Fabricante del dispositivo:","KYE SYSTEMS CORP."
"Nombre del producto:","Wired Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_0458&PID_0186"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0458&PID_0186\5&3B91642C&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


[Port19] : No Device Connected


[Port20] : No Device Connected


[Port21] : No Device Connected


[Port22] : No Device Connected

