
VACUNACIONCALER

"Nombre del computadora:","VACUNACIONCALER"
"DeviceInstanceId","USB\VID_0BDA&PID_B00C\00E04C000001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Cheng Uei Precision Industry, PID=0607

"Fabricante del dispositivo:","Cheng Uei Precision Industry"
"Nombre del producto:","Cheng Uei Precision Industry, PID=0607"
"Número de serie:","-"
"Versión USB admitida:","2.01"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_05C8&PID_0607"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.22621.3155"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_05C8&PID_0607\0001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Intel Comet Lake PCH-LP - Shared SRAM [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-LP - Shared SRAM [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-LP - Shared SRAM [A0]"
"Clase de dispositivo:","RAM/Memory Controller"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_02EF&SUBSYS_72708086&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Dirección base de memoria 0","B141E000"
"Dirección base de memoria 2","B1424000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Shared SRAM - 02EF"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.27.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_02EF&SUBSYS_72708086&REV_00\3&11583659&0&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Comet Lake PCH-LP - HECI #1 [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-LP - HECI #1 [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-LP - HECI #1 [A0]"
"Clase de dispositivo:","Other Communication Device"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:22:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_02E0&SUBSYS_86F8103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE0FB000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Management Engine Interface #1"
"Proveedor de controladores:","Intel"
"Versión del controlador:","2120.100.0.1085"
"Fecha del controlador:","10-May-2021"
"DeviceInstanceId","PCI\VEN_8086&DEV_02E0&SUBSYS_86F8103C&REV_00\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller [A0]

"Nombre del dispositivo:","Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller [A0]"
"Nombre del dispositivo original:","Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller [A0]"
"Clase de dispositivo:","RAID controller"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:23:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_282A&SUBSYS_86F8103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","B141C000"
"Dirección base de memoria 1","B1422000"
"Dirección base de E/S 2","5090"
"Dirección base de E/S 3","5080"
"Dirección base de E/S 4","5060"
"Dirección base de memoria 5","B1421000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Velocidad de interfaz admitida:","Gen3 6.0 Gbps"
"Número de puertos:","2"
"Soporte SATA externo:","No capaz"
"Aggressive Link Power Management:","Capaz"
"Staggered Spin-up:","No capaz"
"Mechanical Presence Switch:","No capaz"
"Command Queue Acceleration:","Capaz"
"64-bit Addressing:","Capaz"
"Estado AHCI:","Activado"
"Versión AHCI:","1.31"
"Puertos implementados:","0, 1"
"Estado del puerto:","Phy en modo fuera de línea"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Estado del puerto:","Dispositivo presente, comunicación Phy no establecida"
"Velocidad de interfaz actual:","Gen1 1.5 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","ATAPI"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) Chipset SATA/PCIe RST Premium Controller"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","18.36.1.1016"
"Fecha del controlador:","22-Jul-2021"
"DeviceInstanceId","PCI\VEN_8086&DEV_282A&SUBSYS_86F8103C&REV_00\3&11583659&0&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Comet Lake PCH-LP - PCI Express Root Port #9 [A0/D0]

"Nombre del dispositivo:","Intel Comet Lake PCH-LP - PCI Express Root Port #9 [A0/D0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-LP - PCI Express Root Port #9 [A0/D0]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","F0 [A0/D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:29:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_02B0&SUBSYS_00000000&REV_F0"
"Versión:","3.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) PCI Express Root Port #9 - 02B0"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.27.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_02B0&SUBSYS_86F8103C&REV_F0\3&11583659&0&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

PCI Express x1 Bus #1


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","15"
"Número de dirección PCI (Bus: Dispositivo: Función):","1:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_86F8103C&REV_15"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","4000"
"Dirección base de memoria 2","B1304000"
"Dirección base de memoria 4","B1300000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek PCIe GbE Family Controller"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","10.48.315.2021"
"Fecha del controlador:","14-Mar-2021"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_86F8103C&REV_15\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

Intel Comet Lake PCH-LP - PCI Express Root Port #10 [A0/D0]

"Nombre del dispositivo:","Intel Comet Lake PCH-LP - PCI Express Root Port #10 [A0/D0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-LP - PCI Express Root Port #10 [A0/D0]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","F0 [A0/D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:29:1"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_02B1&SUBSYS_00000000&REV_F0"
"Versión:","3.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTB#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) PCI Express Root Port #10 - 02B1"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.27.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_02B1&SUBSYS_86F8103C&REV_F0\3&11583659&0&E9"
"Location Paths","PCIROOT(0)#PCI(1D01)"

PCI Express x1 Bus #2


RealTek Semiconductor RTL8822CE Wireless LAN 802.11ac PCI-E NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8822CE Wireless LAN 802.11ac PCI-E NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8822CE Wireless LAN 802.11ac PCI-E NIC"
"Clase de dispositivo:","Other Network Adapter"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","2:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_C822&SUBSYS_85F7103C&REV_00"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","3F00"
"Dirección base de memoria 2","B12F0000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Realtek RTL8822CE 802.11ac PCIe Adapter"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","2024.0.10.226"
"Fecha del controlador:","23-Dec-2021"
"DeviceInstanceId","PCI\VEN_10EC&DEV_C822&SUBSYS_85F7103C&REV_00\00E04CFFFEC8220100"
"Location Paths","PCIROOT(0)#PCI(1D01)#PCI(0000)"

Intel Comet Lake PCH-LP - PCI Express Root Port #13 [A0/D0]

"Nombre del dispositivo:","Intel Comet Lake PCH-LP - PCI Express Root Port #13 [A0/D0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-LP - PCI Express Root Port #13 [A0/D0]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","F0 [A0/D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:29:4"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_02B4&SUBSYS_00000000&REV_F0"
"Versión:","3.0"
"Ancho máximo del enlace:","x4"
"Ancho actual del enlace:","x4"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","8.0 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","25.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) PCI Express Root Port #13 - 02B4"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.27.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_02B4&SUBSYS_86F8103C&REV_F0\3&11583659&0&EC"
"Location Paths","PCIROOT(0)#PCI(1D04)"

PCI Express x4 Bus #3


ADATA Technology, Device ID: 5766

"Nombre del dispositivo:","ADATA Technology, Device ID: 5766"
"Nombre del dispositivo original:","ADATA Technology, Device ID: 5766"
"Clase de dispositivo:","NVMe Controller"
"ID de revisión:","1"
"Número de dirección PCI (Bus: Dispositivo: Función):","3:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1CC1&DEV_5766&SUBSYS_57661CC1&REV_01"
"Versión:","3.0"
"Ancho máximo del enlace:","x4"
"Ancho actual del enlace:","x4"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","8.0 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","512 bytes"
"Maximum Payload Size:","256 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","B1100000"
"Dirección base de memoria 5","B1104000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Controladora NVM Express estándar"
"Descripción del controlador:","Controladora NVM Express estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.22621.3235"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1CC1&DEV_5766&SUBSYS_57661CC1&REV_01\00000001004CE00000"
"Location Paths","PCIROOT(0)#PCI(1D04)#PCI(0000)"

Intel Comet Lake-U Premium PCH-LP - LPC Controller/eSPI Controller [A0]

"Nombre del dispositivo:","Intel Comet Lake-U Premium PCH-LP - LPC Controller/eSPI Controller [A0]"
"Nombre del dispositivo original:","Intel Comet Lake-U Premium PCH-LP - LPC Controller/eSPI Controller [A0]"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0284&SUBSYS_86F8103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","I/O LPC Controller - 0284 for Intel(R) On-Package Platform Controller Hub"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.27.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_0284&SUBSYS_86F8103C&REV_00\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:3"
"PCI Latency Timer:","32"
"ID de hardware:","PCI\VEN_8086&DEV_02C8&SUBSYS_86F8103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE0FC000"
"Dirección base de memoria 4","FE100000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel(R) Corporation"
"Descripción del controlador:","Controlador de audio de la tecnología Intel(R) Smart Sound"
"Proveedor de controladores:","Intel(R) Corporation"
"Versión del controlador:","10.23.0.3586"
"Fecha del controlador:","06-Feb-2020"
"DeviceInstanceId","PCI\VEN_8086&DEV_02C8&SUBSYS_86F8103C&REV_00\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Comet Lake PCH-LP - SMBus Host Controller [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-LP - SMBus Host Controller [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-LP - SMBus Host Controller [A0]"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:4"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_02A3&SUBSYS_86F8103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","B1420000"
"Dirección base de E/S 4","EFA0"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) SMBus - 02A3"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.27.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_02A3&SUBSYS_86F8103C&REV_00\3&11583659&0&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Intel Comet Lake PCH-LP - SPI (flash) Controller [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-LP - SPI (flash) Controller [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-LP - SPI (flash) Controller [A0]"
"Clase de dispositivo:","Other Serial Bus Controller"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_02A4&SUBSYS_86F8103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Dirección base de memoria 0","FE010000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) SPI (flash) Controller - 02A4"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.27.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_02A4&SUBSYS_86F8103C&REV_00\3&11583659&0&FD"
"Location Paths","PCIROOT(0)#PCI(1F05)"

Adaptador gráfico


Intel UHD Graphics

"Chipset de gráficos:","Intel UHD Graphics"
"Nombre en clave del chipset de gráficos:","Comet Lake-U GT2"
"Memoria gráfica:","1024 MBytes"
"Tarjeta grafica:","Intel UHD Graphics (Comet Lake-U GT2) [V0] [Hewlett-Packard]"
"Bus de tarjeta gráfica:","PCIe v2.0 x0 (5.0 GT/s) @ [DISABLED]"
"GPU Type:","Integrated"
"Gráficos RAMDAC:","Internal"
"Frecuencia del procesador de gráficos:","299.3 MHz"
"Frecuencia de memoria gráfica:","1330.0 MHz"
"Ancho del bus de memoria gráfica:","64-bit"
"Número de ALU (núcleos):","192"
"Número de EU (unidades de ejecución):","24"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_8086&DEV_9B41&SUBSYS_86F8103C&REV_02"
"Ubicación PCI (Bus:Dispositivo:Función):","0:02:0"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) UHD Graphics"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","30.0.101.2079"
"Fecha del controlador:","25-May-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_9B41&SUBSYS_86F8103C&REV_02\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


HP [Unknown Model: HPN402F]

"Nombre del monitor:","HP [Unknown Model: HPN402F]"
"Nombre del monitor (del fabricante):","HP ALL-in-One"
"Número de serie:","T215HVN05.1  "
"Fecha de manufactura:","Semana: 1, Año: 2019"
"ID de hardware del monitor:","Monitor\HPN402F"
"Máx. Tamaño vertical:","27 cm"
"Máx. Tamaño horizontal:","48 cm"
"Señal de entrada:","Digital"
"Digital Video Interface Standard Supported:","DVI"
"Gamma Factor:","2.20"
"Standby:","Soportado"
"Suspend:","Soportado"
"Active Off:","Soportado"
"Standard Colour Space (sRGB) Default:","No soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"DFP 1.x Compatible:","Sí"
"1920 x 1080","476 x 268 mm, Reloj de píxeles 142.38 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.22621.3235"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\HPN402F\4&299C739F&0&UID265988"
"Location Paths","ACPI(_SB_)#ACPI(PCI0)#ACPI(GFX0)#ACPI(DD1F)"

Unidades de disco


Unidades (S)ATA/ATAPI


Unidades NVMe


ADATA SX6000PNP

"Controlador de disco:","NVMe (PCIe x4 8.0 GT/s @ x4 8.0 GT/s)"
"Controlador de host:","ADATA Technology, Device ID: 5766"
"Modelo de unidad:","ADATA SX6000PNP"
"Número de serie de la unidad:","2L502LSGSBX2"
"Revisión de firmware de la unidad:","VC0S036B"
"Versión NVMe admitida:","v1.4"
"Capacidad de la unidad:","488,386 MBytes (512 GB)"
"Drive Capacity [MB]:","488386"
"Volatile Write Cache:","Presente"
"Compare Command:","No soportado"
"Write Uncorrectable Command:","No soportado"
"Dataset Management:","Soportado"
"Write Zeroes:","Soportado"
"Save field set to a non-zero value:","Soportado"
"Reservations:","No soportado"
"Timestamp:","No soportado"
"Autonomous Power State Transitions:","Soportado"
"Espacio disponible por debajo del umbral:","Normal"
"La temperatura superó el umbral crítico:","Normal"
"Confiabilidad del dispositivo degradada:","Normal"
"Medios en modo de solo lectura:","Normal"
"El dispositivo de respaldo de memoria volátil falló:","Normal"
"Temperatura del disco:","31 °C"
"Umbral de temperatura de advertencia:","100 °C"
"Umbral de temperatura crítica:","120 °C"
"Tiempo por encima del umbral de temperatura de advertencia:","0 minutos"
"Tiempo por encima del umbral de temperatura crítica:","0 minutos"
"Capacidad de repuesto disponible:","77%"
"Salud del dispositivo:","100%"
"Ciclos de energía:","667"
"Horas de encendido:","1096 horas"
"Paradas inseguras:","70"
"Errores de medios:","0"
"Lecturas totales del host:","5736 GBytes"
"Escrituras totales del host:","5810 GBytes"

hp HLDS DVDRW  GUD1N

"Modelo de unidad:","hp HLDS DVDRW  GUD1N"
"Revisión de firmware de la unidad:","LD07"
"Firmware Date:","2020-12-16 17:20:  "
"Número de serie:","7LGTVQAKKFGXOR  "
"Tipo de dispositivo:","DVD+R DL"
"La unidad puede leer:","CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"
"La unidad puede escribir:","CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"

Audio


Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]

"Adaptador de sonido:","Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]"
"ID de hardware del controlador de audio:","PCI\VEN_8086&DEV_02C8&SUBSYS_86F8103C&REV_00"

Red


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Tarjeta de red:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Descripción del proveedor:","Realtek PCIe GbE Family Controller"
"Dirección MAC:","C8-5A-CF-B4-69-CB"
"Velocidad máxima de enlace:","1000 Mbps"
"Tamaño del búfer de transmisión:","193792 Bytes"
"Tamaño del búfer de recepción:","775168 Bytes"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_86F8103C&REV_15"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek PCIe GbE Family Controller"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","10.48.315.2021"
"Fecha del controlador:","14-Mar-2021"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_86F8103C&REV_15\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

RealTek Semiconductor RTL8822CE Wireless LAN 802.11ac PCI-E NIC

"Tarjeta de red:","RealTek Semiconductor RTL8822CE Wireless LAN 802.11ac PCI-E NIC"
"Descripción del proveedor:","Microsoft"
"Dirección MAC:","4C-D5-77-FE-02-BD"
"Velocidad máxima de enlace:","54 Mbps"
"Tamaño del búfer de transmisión:","Desconocido"
"Tamaño del búfer de recepción:","Desconocido"
"ID de hardware:","PCI\VEN_10EC&DEV_C822&SUBSYS_85F7103C&REV_00"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Realtek RTL8822CE 802.11ac PCIe Adapter"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","2024.0.10.226"
"Fecha del controlador:","23-Dec-2021"
